"","CountryName","CountryCode","Year","EN.ATM.CO2E.PC"
"1","Afghanistan","AFG",2010,0.3029364
"2","Afghanistan","AFG",2011,0.4252621
"3","Albania","ALB",2010,1.515632
"4","Albania","ALB",2011,1.607038
"5","Algeria","DZA",2010,3.309912
"6","Algeria","DZA",2011,3.316038
"7","Andorra","ADO",2010,6.12477
"8","Andorra","ADO",2011,5.968685
"9","Angola","AGO",2010,1.401654
"10","Angola","AGO",2011,1.354008
"11","Antigua and Barbuda","ATG",2010,6.011269
"12","Antigua and Barbuda","ATG",2011,5.823804
"13","Argentina","ARG",2010,4.342272
"14","Argentina","ARG",2011,4.562049
"15","Armenia","ARM",2010,1.422998
"16","Armenia","ARM",2011,1.671657
"17","Aruba","ABW",2010,24.1827
"18","Aruba","ABW",2011,23.92241
"19","Australia","AUS",2010,16.7109
"20","Australia","AUS",2011,16.51921
"21","Austria","AUT",2010,8.127693
"22","Austria","AUT",2011,7.769983
"23","Azerbaijan","AZE",2010,3.388226
"24","Azerbaijan","AZE",2011,3.647379
"25","Bahamas, The","BHS",2010,6.829321
"26","Bahamas, The","BHS",2011,5.199844
"27","Bahrain","BHR",2010,18.43502
"28","Bahrain","BHR",2011,17.94733
"29","Bangladesh","BGD",2010,0.3703599
"30","Bangladesh","BGD",2011,0.3720172
"31","Barbados","BRB",2010,5.430338
"32","Barbados","BRB",2011,5.580178
"33","Belarus","BLR",2010,6.55655
"34","Belarus","BLR",2011,6.68251
"35","Belgium","BEL",2010,9.989976
"36","Belgium","BEL",2011,8.849398
"37","Belize","BLZ",2010,1.721709
"38","Belize","BLZ",2011,1.670904
"39","Benin","BEN",2010,0.5417712
"40","Benin","BEN",2011,0.5099622
"41","Bermuda","BMU",2010,7.320036
"42","Bermuda","BMU",2011,6.07721
"43","Bhutan","BTN",2010,0.677145
"44","Bhutan","BTN",2011,0.7662056
"45","Bolivia","BOL",2010,1.547659
"46","Bolivia","BOL",2011,1.599499
"47","Bosnia and Herzegovina","BIH",2010,5.513994
"48","Bosnia and Herzegovina","BIH",2011,6.196652
"49","Botswana","BWA",2010,2.555293
"50","Botswana","BWA",2011,2.323345
"51","Brazil","BRA",2010,2.113415
"52","Brazil","BRA",2011,2.191394
"53","Brunei Darussalam","BRN",2010,21.87322
"54","Brunei Darussalam","BRN",2011,24.39201
"55","Bulgaria","BGR",2010,5.966884
"56","Bulgaria","BGR",2011,6.714383
"57","Burkina Faso","BFA",2010,0.1076731
"58","Burkina Faso","BFA",2011,0.1199806
"59","Burundi","BDI",2010,0.02054208
"60","Burundi","BDI",2011,0.02134993
"61","Cabo Verde","CPV",2010,0.5982312
"62","Cabo Verde","CPV",2011,0.8590614
"63","Cambodia","KHM",2010,0.2915507
"64","Cambodia","KHM",2011,0.3080732
"65","Cameroon","CMR",2010,0.3257273
"66","Cameroon","CMR",2011,0.2680918
"67","Canada","CAN",2010,14.58905
"68","Canada","CAN",2011,14.13581
"69","Caribbean small states","CSS",2010,10.0045
"70","Caribbean small states","CSS",2011,9.69296
"71","Cayman Islands","CYM",2010,10.17345
"72","Cayman Islands","CYM",2011,10.30493
"73","Central African Republic","CAF",2010,0.05939834
"74","Central African Republic","CAF",2011,0.06312781
"75","Chad","TCD",2010,0.04346255
"76","Chad","TCD",2011,0.04383042
"77","Chile","CHL",2010,4.246725
"78","Chile","CHL",2011,4.616445
"79","China","CHN",2010,6.172489
"80","China","CHN",2011,6.710302
"81","Colombia","COL",2010,1.711391
"82","Colombia","COL",2011,1.560629
"83","Comoros","COM",2010,0.1889408
"84","Comoros","COM",2011,0.2202335
"85","Congo, Dem. Rep.","ZAR",2010,0.04932806
"86","Congo, Dem. Rep.","ZAR",2011,0.05030269
"87","Congo, Rep.","COG",2010,0.4734722
"88","Congo, Rep.","COG",2011,0.5380984
"89","Costa Rica","CRI",2010,1.665178
"90","Costa Rica","CRI",2011,1.704974
"91","Cote d'Ivoire","CIV",2010,0.2923515
"92","Cote d'Ivoire","CIV",2011,0.3128777
"93","Croatia","HRV",2010,4.728822
"94","Croatia","HRV",2011,4.80153
"95","Cuba","CUB",2010,3.392292
"96","Cuba","CUB",2011,3.172315
"97","Cyprus","CYP",2010,6.983908
"98","Cyprus","CYP",2011,6.735376
"99","Czech Republic","CZE",2010,10.61337
"100","Czech Republic","CZE",2011,10.43109
"101","Denmark","DNK",2010,8.394658
"102","Denmark","DNK",2011,7.248329
"103","Djibouti","DJI",2010,0.6223468
"104","Djibouti","DJI",2011,0.5619409
"105","Dominica","DMA",2010,1.906488
"106","Dominica","DMA",2011,1.746142
"107","Dominican Republic","DOM",2010,2.158414
"108","Dominican Republic","DOM",2011,2.182908
"109","Ecuador","ECU",2010,2.293303
"110","Ecuador","ECU",2011,2.354017
"111","Egypt, Arab Rep.","EGY",2010,2.494817
"112","Egypt, Arab Rep.","EGY",2011,2.635115
"113","El Salvador","SLV",2010,1.044538
"114","El Salvador","SLV",2011,1.103999
"115","Equatorial Guinea","GNQ",2010,6.421062
"116","Equatorial Guinea","GNQ",2011,8.907242
"117","Eritrea","ERI",2010,0.1094705
"118","Eritrea","ERI",2011,0.1087184
"119","Estonia","EST",2010,13.7732
"120","Estonia","EST",2011,14.04988
"121","Ethiopia","ETH",2010,0.07559157
"122","Ethiopia","ETH",2011,0.08394312
"123","Faeroe Islands","FRO",2010,12.98668
"124","Faeroe Islands","FRO",2011,11.72121
"125","Fiji","FJI",2010,1.50526
"126","Fiji","FJI",2011,1.424813
"127","Finland","FIN",2010,11.53084
"128","Finland","FIN",2011,10.16405
"129","France","FRA",2010,5.496707
"130","France","FRA",2011,5.185043
"131","French Polynesia","PYF",2010,3.296764
"132","French Polynesia","PYF",2011,3.167953
"133","Gabon","GAB",2010,1.455446
"134","Gabon","GAB",2011,1.418166
"135","Gambia, The","GMB",2010,0.2794108
"136","Gambia, The","GMB",2011,0.2410984
"137","Georgia","GEO",2010,1.466701
"138","Georgia","GEO",2011,1.769151
"139","Germany","DEU",2010,9.179817
"140","Germany","DEU",2011,8.917833
"141","Ghana","GHA",2010,0.4154411
"142","Ghana","GHA",2011,0.4043798
"143","Greece","GRC",2010,7.77492
"144","Greece","GRC",2011,7.556058
"145","Greenland","GRL",2010,11.66377
"146","Greenland","GRL",2011,12.44034
"147","Grenada","GRD",2010,2.487242
"148","Grenada","GRD",2011,2.408137
"149","Guatemala","GTM",2010,0.7716195
"150","Guatemala","GTM",2011,0.7480551
"151","Guinea","GIN",2010,0.2257659
"152","Guinea","GIN",2011,0.2294234
"153","Guinea-Bissau","GNB",2010,0.1458546
"154","Guinea-Bissau","GNB",2011,0.1468107
"155","Guyana","GUY",2010,2.282864
"156","Guyana","GUY",2011,2.357722
"157","Haiti","HTI",2010,0.2119607
"158","Haiti","HTI",2011,0.217962
"159","Honduras","HND",2010,1.080473
"160","Honduras","HND",2011,1.103745
"161","Hong Kong SAR, China","HKG",2010,5.16623
"162","Hong Kong SAR, China","HKG",2011,5.695269
"163","Hungary","HUN",2010,5.07475
"164","Hungary","HUN",2011,4.86299
"165","Iceland","ISL",2010,6.168529
"166","Iceland","ISL",2011,5.896829
"167","India","IND",2010,1.58487
"168","India","IND",2011,1.662873
"169","Indonesia","IDN",2010,1.808601
"170","Indonesia","IDN",2011,2.303781
"171","Iran, Islamic Rep.","IRN",2010,7.698029
"172","Iran, Islamic Rep.","IRN",2011,7.802145
"173","Iraq","IRQ",2010,3.610435
"174","Iraq","IRQ",2011,4.201635
"175","Ireland","IRL",2010,8.810151
"176","Ireland","IRL",2011,7.880759
"177","Israel","ISR",2010,9.036666
"178","Israel","ISR",2011,8.952414
"179","Italy","ITA",2010,6.838375
"180","Italy","ITA",2011,6.702558
"181","Jamaica","JAM",2010,2.672411
"182","Jamaica","JAM",2011,2.872656
"183","Japan","JPN",2010,9.127185
"184","Japan","JPN",2011,9.291834
"185","Jordan","JOR",2010,3.50324
"186","Jordan","JOR",2011,3.601147
"187","Kazakhstan","KAZ",2010,15.14648
"188","Kazakhstan","KAZ",2011,15.8101
"189","Kenya","KEN",2010,0.3079754
"190","Kenya","KEN",2011,0.3275692
"191","Kiribati","KIR",2010,0.6073085
"192","Kiribati","KIR",2011,0.5956221
"193","Korea, Dem. Rep.","PRK",2010,2.958834
"194","Korea, Dem. Rep.","PRK",2011,2.987182
"195","Korea, Rep.","KOR",2010,11.46959
"196","Korea, Rep.","KOR",2011,11.84076
"197","Kuwait","KWT",2010,29.69343
"198","Kuwait","KWT",2011,28.10266
"199","Kyrgyz Republic","KGZ",2010,1.129468
"200","Kyrgyz Republic","KGZ",2011,1.199592
"201","Lao PDR","LAO",2010,0.203249
"202","Lao PDR","LAO",2011,0.1889105
"203","Latvia","LVA",2010,3.963228
"204","Latvia","LVA",2011,3.786801
"205","Lebanon","LBN",2010,4.632412
"206","Lebanon","LBN",2011,4.668313
"207","Lesotho","LSO",2010,1.123489
"208","Lesotho","LSO",2011,1.08227
"209","Liberia","LBR",2010,0.2028992
"210","Liberia","LBR",2011,0.218425
"211","Libya","LBY",2010,10.5427
"212","Libya","LBY",2011,6.204914
"213","Liechtenstein","LIE",2010,1.617378
"214","Liechtenstein","LIE",2011,1.405096
"215","Lithuania","LTU",2010,4.319018
"216","Lithuania","LTU",2011,4.537559
"217","Luxembourg","LUX",2010,21.63514
"218","Luxembourg","LUX",2011,20.89781
"219","Macao SAR, China","MAC",2010,2.242893
"220","Macao SAR, China","MAC",2011,2.133061
"221","Macedonia, FYR","MKD",2010,4.171161
"222","Macedonia, FYR","MKD",2011,4.51921
"223","Madagascar","MDG",2010,0.09898336
"224","Madagascar","MDG",2011,0.1129928
"225","Malawi","MWI",2010,0.08217952
"226","Malawi","MWI",2011,0.07923148
"227","Malaysia","MYS",2010,7.986951
"228","Malaysia","MYS",2011,7.898824
"229","Maldives","MDV",2010,2.927605
"230","Maldives","MDV",2011,2.927764
"231","Mali","MLI",2010,0.08147661
"232","Mali","MLI",2011,0.07995638
"233","Malta","MLT",2010,6.316496
"234","Malta","MLT",2011,6.034322
"235","Marshall Islands","MHL",2010,1.958419
"236","Marshall Islands","MHL",2011,1.954207
"237","Mauritania","MRT",2010,0.5952723
"238","Mauritania","MRT",2011,0.6272255
"239","Mauritius","MUS",2010,3.132083
"240","Mauritius","MUS",2011,3.127071
"241","Mexico","MEX",2010,3.752091
"242","Mexico","MEX",2011,3.876108
"243","Micronesia, Fed. Sts.","FSM",2010,1.167846
"244","Micronesia, Fed. Sts.","FSM",2011,1.240336
"245","Middle income","MIC",2010,3.226962
"246","Middle income","MIC",2011,3.424408
"247","Moldova","MDA",2010,1.38566
"248","Moldova","MDA",2011,1.398822
"249","Mongolia","MNG",2010,4.243335
"250","Mongolia","MNG",2011,6.915147
"251","Montenegro","MNE",2010,4.167664
"252","Montenegro","MNE",2011,4.145548
"253","Morocco","MAR",2010,1.742833
"254","Morocco","MAR",2011,1.737916
"255","Mozambique","MOZ",2010,0.1182054
"256","Mozambique","MOZ",2011,0.1311898
"257","Myanmar","MMR",2010,0.1737347
"258","Myanmar","MMR",2011,0.2002852
"259","Namibia","NAM",2010,1.449319
"260","Namibia","NAM",2011,1.23916
"261","Nepal","NPL",2010,0.1611379
"262","Nepal","NPL",2011,0.1594745
"263","Netherlands","NLD",2010,10.94932
"264","Netherlands","NLD",2011,10.06449
"265","New Caledonia","NCL",2010,15.68009
"266","New Caledonia","NCL",2011,15.1733
"267","New Zealand","NZL",2010,7.29742
"268","New Zealand","NZL",2011,7.124051
"269","Nicaragua","NIC",2010,0.8059099
"270","Nicaragua","NIC",2011,0.843542
"271","Niger","NER",2010,0.08305449
"272","Niger","NER",2011,0.08395818
"273","Nigeria","NGA",2010,0.5345537
"274","Nigeria","NGA",2011,0.5374976
"275","Norway","NOR",2010,11.61619
"276","Norway","NOR",2011,9.192879
"277","Oman","OMN",2010,19.12261
"278","Oman","OMN",2011,20.20389
"279","Other small states","OSS",2010,1.515355
"280","Other small states","OSS",2011,1.548097
"281","Pacific island small states","PSS",2010,1.113847
"282","Pacific island small states","PSS",2011,1.098
"283","Pakistan","PAK",2010,0.9573574
"284","Pakistan","PAK",2011,0.9411711
"285","Palau","PLW",2010,10.56927
"286","Palau","PLW",2011,10.85543
"287","Panama","PAN",2010,2.449052
"288","Panama","PAN",2011,2.625276
"289","Papua New Guinea","PNG",2010,0.6811847
"290","Papua New Guinea","PNG",2011,0.7468952
"291","Paraguay","PRY",2010,0.8172671
"292","Paraguay","PRY",2011,0.8419152
"293","Peru","PER",2010,1.969722
"294","Peru","PER",2011,1.783233
"295","Philippines","PHL",2010,0.8781355
"296","Philippines","PHL",2011,0.8678453
"297","Poland","POL",2010,8.334872
"298","Poland","POL",2011,8.335787
"299","Portugal","PRT",2010,4.690095
"300","Portugal","PRT",2011,4.70985
"301","Qatar","QAT",2010,42.63908
"302","Qatar","QAT",2011,44.01893
"303","Romania","ROM",2010,3.91841
"304","Romania","ROM",2011,4.21056
"305","Russian Federation","RUS",2010,12.19844
"306","Russian Federation","RUS",2011,12.64733
"307","Rwanda","RWA",2010,0.05735438
"308","Rwanda","RWA",2011,0.0628742
"309","Samoa","WSM",2010,1.103871
"310","Samoa","WSM",2011,1.25211
"311","Sao Tome and Principe","STP",2010,0.5794066
"312","Sao Tome and Principe","STP",2011,0.5879093
"313","Saudi Arabia","SAU",2010,18.97763
"314","Saudi Arabia","SAU",2011,18.07245
"315","Senegal","SEN",2010,0.6384877
"316","Senegal","SEN",2011,0.5883341
"317","Serbia","SRB",2010,6.292017
"318","Serbia","SRB",2011,6.799115
"319","Seychelles","SYC",2010,7.679581
"320","Seychelles","SYC",2011,6.835706
"321","Sierra Leone","SLE",2010,0.1257061
"322","Sierra Leone","SLE",2011,0.1520442
"323","Singapore","SGP",2010,2.655247
"324","Singapore","SGP",2011,4.320151
"325","Slovak Republic","SVK",2010,6.72196
"326","Slovak Republic","SVK",2011,6.367546
"327","Slovenia","SVN",2010,7.530605
"328","Slovenia","SVN",2011,7.50426
"329","Small states","SST",2010,3.533691
"330","Small states","SST",2011,3.459791
"331","Solomon Islands","SLB",2010,0.3763334
"332","Solomon Islands","SLB",2011,0.3683042
"333","Somalia","SOM",2010,0.06391226
"334","Somalia","SOM",2011,0.05870688
"335","South Africa","ZAF",2010,8.957154
"336","South Africa","ZAF",2011,9.257216
"337","South Asia","SAS",2010,1.348893
"338","South Asia","SAS",2011,1.408997
"339","Spain","ESP",2010,5.815787
"340","Spain","ESP",2011,5.790764
"341","Sri Lanka","LKA",2010,0.6482456
"342","Sri Lanka","LKA",2011,0.7299208
"343","St. Kitts and Nevis","KNA",2010,4.973201
"344","St. Kitts and Nevis","KNA",2011,5.050964
"345","St. Lucia","LCA",2010,2.273827
"346","St. Lucia","LCA",2011,2.270424
"347","St. Vincent and the Grenadines","VCT",2010,2.146877
"348","St. Vincent and the Grenadines","VCT",2011,2.179923
"349","Sudan","SDN",2010,0.3417508
"350","Sudan","SDN",2011,0.3495487
"351","Suriname","SUR",2010,4.621427
"352","Suriname","SUR",2011,3.649913
"353","Swaziland","SWZ",2010,0.8697672
"354","Swaziland","SWZ",2011,0.8649883
"355","Sweden","SWE",2010,5.606
"356","Sweden","SWE",2011,5.518421
"357","Switzerland","CHE",2010,4.952499
"358","Switzerland","CHE",2011,4.62523
"359","Syrian Arab Republic","SYR",2010,2.971741
"360","Syrian Arab Republic","SYR",2011,2.736991
"361","Tajikistan","TJK",2010,0.3738729
"362","Tajikistan","TJK",2011,0.3589476
"363","Tanzania","TZA",2010,0.1500586
"364","Tanzania","TZA",2011,0.1549349
"365","Thailand","THA",2010,4.470426
"366","Thailand","THA",2011,4.534492
"367","Timor-Leste","TMP",2010,0.1719322
"368","Timor-Leste","TMP",2011,0.1636481
"369","Togo","TGO",2010,0.269107
"370","Togo","TGO",2011,0.3194436
"371","Tonga","TON",2010,1.128883
"372","Tonga","TON",2011,0.983562
"373","Trinidad and Tobago","TTO",2010,38.33784
"374","Trinidad and Tobago","TTO",2011,37.14005
"375","Tunisia","TUN",2010,2.535619
"376","Tunisia","TUN",2011,2.402456
"377","Turkey","TUR",2010,4.121155
"378","Turkey","TUR",2011,4.383105
"379","Turkmenistan","TKM",2010,11.35811
"380","Turkmenistan","TKM",2011,12.18367
"381","Turks and Caicos Islands","TCA",2010,6.152486
"382","Turks and Caicos Islands","TCA",2011,6.010149
"383","Uganda","UGA",2010,0.1082973
"384","Uganda","UGA",2011,0.1108866
"385","Ukraine","UKR",2010,6.638152
"386","Ukraine","UKR",2011,6.262352
"387","United Arab Emirates","ARE",2010,20.12096
"388","United Arab Emirates","ARE",2011,20.43384
"389","United Kingdom","GBR",2010,7.841653
"390","United Kingdom","GBR",2011,7.085732
"391","United States","USA",2010,17.48479
"392","United States","USA",2011,17.02022
"393","Uruguay","URY",2010,1.912605
"394","Uruguay","URY",2011,2.296201
"395","Uzbekistan","UZB",2010,3.693268
"396","Uzbekistan","UZB",2011,3.914921
"397","Vanuatu","VUT",2010,0.4965912
"398","Vanuatu","VUT",2011,0.5912658
"399","Venezuela, RB","VEN",2010,6.811756
"400","Venezuela, RB","VEN",2011,6.416334
"401","Vietnam","VNM",2010,1.761695
"402","Vietnam","VNM",2011,1.971889
"403","Yemen, Rep.","YEM",2010,1.09006
"404","Yemen, Rep.","YEM",2011,0.9199676
"405","Zambia","ZMB",2010,0.1920787
"406","Zambia","ZMB",2011,0.2124496
"407","Zimbabwe","ZWE",2010,0.6460727
"408","Zimbabwe","ZWE",2011,0.6916979
