"","CountryName","CountryCode","Year","SL.EMP.WORK.ZS"
"1","Albania","ALB",2010,43.8
"2","Albania","ALB",2011,39
"3","Albania","ALB",2012,35.7
"4","Albania","ALB",2013,40.2
"5","Algeria","DZA",2010,33
"6","Algeria","DZA",2011,67
"7","Algeria","DZA",2013,69
"8","Algeria","DZA",2014,70.9
"9","American Samoa","ASM",2010,96.9
"10","Argentina","ARG",2010,76.4
"11","Argentina","ARG",2011,76.9
"12","Argentina","ARG",2012,77
"13","Argentina","ARG",2013,75.3
"14","Armenia","ARM",2010,56.9
"15","Armenia","ARM",2011,55.6
"16","Armenia","ARM",2012,56.5
"17","Armenia","ARM",2013,57.2
"18","Aruba","ABW",2010,89.3
"19","Australia","AUS",2010,88.2
"20","Australia","AUS",2011,88.7
"21","Australia","AUS",2012,89.4
"22","Australia","AUS",2013,89.6
"23","Austria","AUT",2010,86.2
"24","Austria","AUT",2011,86.7
"25","Austria","AUT",2012,86.9
"26","Austria","AUT",2013,86.8
"27","Austria","AUT",2014,86.7
"28","Azerbaijan","AZE",2010,31.9
"29","Azerbaijan","AZE",2011,31.7
"30","Azerbaijan","AZE",2012,33.3
"31","Azerbaijan","AZE",2013,33.5
"32","Bahamas, The","BHS",2011,85.4
"33","Bahrain","BHR",2010,96.8
"34","Bangladesh","BGD",2010,14.6
"35","Bangladesh","BGD",2011,29.4
"36","Barbados","BRB",2013,83.2
"37","Belgium","BEL",2010,85.6
"38","Belgium","BEL",2011,85.7
"39","Belgium","BEL",2012,85.7
"40","Belgium","BEL",2013,84.9
"41","Belgium","BEL",2014,85.4
"42","Benin","BEN",2010,8.1
"43","Bermuda","BMU",2010,86.6
"44","Bermuda","BMU",2012,82.4
"45","Bhutan","BTN",2010,31.1
"46","Bhutan","BTN",2011,28.9
"47","Bhutan","BTN",2012,27.5
"48","Bolivia","BOL",2011,39.5
"49","Bosnia and Herzegovina","BIH",2010,73.5
"50","Bosnia and Herzegovina","BIH",2011,74.8
"51","Bosnia and Herzegovina","BIH",2012,72.6
"52","Bosnia and Herzegovina","BIH",2013,74.6
"53","Botswana","BWA",2010,68.2
"54","Brazil","BRA",2011,68
"55","Brazil","BRA",2012,68.6
"56","Brazil","BRA",2013,68.7
"57","Bulgaria","BGR",2010,87.2
"58","Bulgaria","BGR",2011,87.9
"59","Bulgaria","BGR",2012,88.4
"60","Bulgaria","BGR",2013,87.9
"61","Bulgaria","BGR",2014,87.5
"62","Burundi","BDI",2010,5.9
"63","Cambodia","KHM",2010,29.8
"64","Cambodia","KHM",2011,31.4
"65","Cambodia","KHM",2012,35.8
"66","Cameroon","CMR",2010,20.3
"67","Canada","CAN",2010,90.7
"68","Canada","CAN",2011,91
"69","Canada","CAN",2012,91.1
"70","Canada","CAN",2013,91.2
"71","Canada","CAN",2014,91.2
"72","Cayman Islands","CYM",2011,91.1
"73","Cayman Islands","CYM",2012,91.6
"74","Cayman Islands","CYM",2013,91.5
"75","Chile","CHL",2010,73.5
