"","CountryName","finalrank_eng1","finalrank_eng2","finalrank_eng3","score_eng","finalrank_eng"
"1","Afghanistan",63,61,62,62,113.5
"2","Albania",1,124,41,55.3333333333333,79.5
"3","Algeria",1,5,133,46.3333333333333,37
"4","Angola",70,148,24,80.6666666666667,153.5
"5","Argentina",3,54,105,54,66
"6","Armenia",1,45,73,39.6666666666667,21
"7","Aruba",22,44,33,33,9
"8","Australia",1,52,112,55,76.5
"9","Austria",1,120,51,57.3333333333333,90.5
"10","Azerbaijan",1,26,127,51.3333333333333,56
"11","Bahamas, The",1,18,9.5,9.5,2
"12","Bahrain",10,72.5,135,72.5,134
"13","Bangladesh",49,125,63,79,148.5
"14","Barbados",22,57,39.5,39.5,20
"15","Belarus",1,48,106,51.6666666666667,58
"16","Belgium",1,49,54,34.6666666666667,11.5
"17","Belize",1,105,53,53,61
"18","Benin",68,143,26,79,148.5
"19","Bhutan",40,184,112,112,176
"20","Bolivia",24,107,72,67.6666666666667,123.5
"21","Bosnia and Herzegovina",1,77,110,62.6666666666667,115
"22","Botswana",57,99,49,68.3333333333333,126
"23","Brazil",5,134,38,59,98
"24","Brunei Darussalam",38,2,137,59,98
"25","Bulgaria",1,79,60,46.6666666666667,39
"26","Burkina Faso",96,169,132.5,132.5,185.5
"27","Burundi",99,190,144.5,144.5,193
"28","Cabo Verde",41,91,66,66,120.5
"29","Cambodia",76,157,15,82.6666666666667,158.5
"30","Cameroon",55,162,17,78,146.5
"31","Canada",1,89,61,50.3333333333333,51.5
"32","Caribbean small states",18,42,124,61.3333333333333,110.5
"33","Central African Republic",97,164,130.5,130.5,183.5
"34","Chad",100,186,143,143,192
"35","Chile",4,113,57,58,93.5
"36","China",1,83,98,60.6666666666667,106
"37","Colombia",12,104,70,62,113.5
"38","Comoros",43,138,90.5,90.5,167.5
"39","Congo, Dem. Rep.",91,189,1,93.6666666666667,170
"40","Congo, Rep.",65,139,34,79.3333333333333,150
"41","Costa Rica",5,126,33,54.6666666666667,72.5
"42","Cote d'Ivoire",53,159,14,75.3333333333333,142
"43","Croatia",1,88,76,55,76.5
"44","Cuba",1,84,91,58.6666666666667,95.5
"45","Cyprus",1,51,113,55,76.5
"46","Czech Republic",1,62,69,44,30.5
"47","Denmark",1,106,59,55.3333333333333,79.5
"48","Djibouti",56,119,87.5,87.5,163
"49","Dominica",19,66,42.5,42.5,28
"50","Dominican Republic",9,73,103,61.6666666666667,112
"51","Ecuador",11,74,99,61.3333333333333,110.5
"52","Egypt, Arab Rep.",1,43,119,54.3333333333333,68.5
"53","El Salvador",16,117,31,54.6666666666667,72.5
"54","Equatorial Guinea",44,112,78,78,146.5
"55","Eritrea",71,171,13,85,161
"56","Estonia",1,101,9,37,14.5
"57","Ethiopia",79,187,2,89.3333333333333,165
"58","Fiji",50,68,59,59,98
"59","Finland",1,128,27,52,59
"60","France",1,70,35,35.3333333333333,13
"61","French Polynesia",50,56,53,53,61
"62","Gabon",26,156,25,69,127
"63","Gambia, The",72,140,106,106,174
"64","Georgia",1,110,68,59.6666666666667,101
"65","Germany",1,69,79,49.6666666666667,49
"66","Ghana",46,141,28,71.6666666666667,133
"67","Greece",1,75,95,57,87.5
"68","Grenada",22,58,40,40,22.5
"69","Guatemala",34,154,20,69.3333333333333,128
"70","Guinea",80,161,120.5,120.5,180
"71","Guinea-Bissau",47,182,114.5,114.5,177
"72","Guyana",32,122,77,77,145
"73","Haiti",69,173,11,84.3333333333333,160
"74","Honduras",31,146,36,71,132
"75","Hong Kong SAR, China",1,13,111,41.6666666666667,26.5
"76","Hungary",1,59,56,38.6666666666667,18
"77","Iceland",1,163,5,56.3333333333333,83.5
"78","India",33,127,65,75,139
"79","Indonesia",14,123,52,63,116
"80","Iran, Islamic Rep.",1,10,132,47.6666666666667,40.5
"81","Iraq",1,16,122,46.3333333333333,37
"82","Ireland",1,47,90,46,35
"83","Israel",1,53,120,58,93.5
"84","Italy",1,67,81,49.6666666666667,49
"85","Jamaica",20,76,82,59.3333333333333,100
"86","Japan",1,37,115,51,53.5
"87","Jordan",5,28,121,51.3333333333333,56
"88","Kazakhstan",1,15,130,48.6666666666667,43
"89","Kenya",82,165,10,85.6666666666667,162
"90","Kiribati",50,27,38.5,38.5,17
"91","Korea, Dem. Rep.",77,80,87,81.3333333333333,155
"92","Korea, Rep.",1,17,86,34.6666666666667,11.5
"93","Kosovo",1,90,100,63.6666666666667,117
"94","Kyrgyz Republic",1,93,66,53.3333333333333,63
"95","Lao PDR",42,177,109.5,109.5,175
"96","Latvia",1,131,39,57,87.5
"97","Lebanon",1,40,118,53,61
"98","Lesotho",86,35,60.5,60.5,103
"99","Liberia",98,183,140.5,140.5,191
"100","Libya",1,19,131,50.3333333333333,51.5
"101","Lithuania",1,100,62,54.3333333333333,68.5
"102","Luxembourg",1,34,89,41.3333333333333,24
"103","Macao SAR, China",23,4,13.5,13.5,3
"104","Macedonia, FYR",1,81,83,55,76.5
"105","Madagascar",92,167,129.5,129.5,182
"106","Malawi",98,168,133,133,187.5
"107","Malaysia",1,46,116,54.3333333333333,68.5
"108","Maldives",1,30,15.5,15.5,5.5
"109","Mali",81,174,127.5,127.5,181
"110","Malta",1,23,129,51,53.5
"111","Mauritania",85,116,100.5,100.5,173
"112","Mauritius",1,32,84,39,19
"113","Mexico",6,55,102,54.3333333333333,68.5
"114","Middle income",29,102,80,70.3333333333333,131
"115","Moldova",1,39,114,51.3333333333333,56
"116","Mongolia",25,29,117,57,87.5
"117","Montenegro",1,136,45,60.6666666666667,106
"118","Morocco",1,65,101,55.6666666666667,81
"119","Mozambique",87,181,3,90.3333333333333,166
"120","Myanmar",58,166,16,80,151
"121","Namibia",61,115,50,75.3333333333333,142
"122","Nepal",37,175,7,73,135
"123","Netherlands",1,38,109,49.3333333333333,46
"124","New Caledonia",50,33,41.5,41.5,25
"125","New Zealand",1,114,46,53.6666666666667,64.5
"126","Nicaragua",36,145,29,70,129.5
"127","Niger",94,172,133,133,187.5
"128","Nigeria",54,176,12,80.6666666666667,153.5
"129","Norway",1,150,47,66,120.5
"130","Oman",10,74.5,139,74.5,136.5
"131","Other small states",51,130,44,75,139
"132","Pacific island small states",59,94,76.5,76.5,144
"133","Pakistan",17,135,42,64.6666666666667,119
