"","CountryName","CountryCode","Year","AG.LND.FRST.ZS","ER.PTD.TOTL.ZS"
"1","Afghanistan","AFG",2010,2.067825,0.3720076
"2","Afghanistan","AFG",2011,2.067825,NA
"3","Afghanistan","AFG",2012,2.067825,0.3720076
"4","Afghanistan","AFG",2013,2.067825,NA
"5","Albania","ALB",2010,28.33212,9.476582
"6","Albania","ALB",2011,28.29708,NA
"7","Albania","ALB",2012,28.26204,9.476582
"8","Albania","ALB",2013,28.22701,NA
"9","Algeria","DZA",2010,0.8052936,7.375091
"10","Algeria","DZA",2011,0.8084846,NA
"11","Algeria","DZA",2012,0.8116755,7.378941
"12","Algeria","DZA",2013,0.8148664,NA
"13","American Samoa","ASM",2010,88.55,16.83815
"14","American Samoa","ASM",2011,88.4,NA
"15","American Samoa","ASM",2012,88.2,16.83815
"16","American Samoa","ASM",2013,88.05,NA
"17","Andorra","ADO",2010,34.04255,9.829452
"18","Andorra","ADO",2011,34.04255,NA
"19","Andorra","ADO",2012,34.04255,9.829452
"20","Andorra","ADO",2013,34.04255,NA
"21","Angola","AGO",2010,46.90784,12.06314
"22","Angola","AGO",2011,46.80773,NA
"23","Angola","AGO",2012,46.70763,12.06321
"24","Angola","AGO",2013,46.60752,NA
"25","Antigua and Barbuda","ATG",2010,22.27273,1.199169
"26","Antigua and Barbuda","ATG",2011,22.27273,NA
"27","Antigua and Barbuda","ATG",2012,22.27273,1.199169
"28","Antigua and Barbuda","ATG",2013,22.27273,NA
"29","Argentina","ARG",2010,10.44912,6.643764
"30","Argentina","ARG",2011,10.34067,NA
"31","Argentina","ARG",2012,10.23221,6.649813
"32","Argentina","ARG",2013,10.12376,NA
"33","Armenia","ARM",2010,11.62627,8.102788
"34","Armenia","ARM",2011,11.6333,NA
"35","Armenia","ARM",2012,11.64032,8.104472
"36","Armenia","ARM",2013,11.64735,NA
"37","Aruba","ABW",2010,2.333333,0.03026106
"38","Aruba","ABW",2011,2.333333,NA
"39","Aruba","ABW",2012,2.333333,0.03026106
"40","Aruba","ABW",2013,2.333333,NA
"41","Australia","AUS",2010,16.0383,15.0353
"42","Australia","AUS",2011,16.07839,NA
"43","Australia","AUS",2012,16.11848,15.04685
"44","Australia","AUS",2013,16.15857,NA
"45","Austria","AUT",2010,46.75331,23.58846
"46","Austria","AUT",2011,46.77908,NA
"47","Austria","AUT",2012,46.80882,23.58851
"48","Austria","AUT",2013,46.83573,NA
"49","Azerbaijan","AZE",2010,12.19875,7.357207
"50","Azerbaijan","AZE",2011,12.51567,NA
"51","Azerbaijan","AZE",2012,12.83288,7.357207
"52","Azerbaijan","AZE",2013,13.14993,NA
"53","Bahamas, The","BHS",2010,51.44855,1.005589
"54","Bahamas, The","BHS",2011,51.44855,NA
"55","Bahamas, The","BHS",2012,51.44855,1.005589
"56","Bahamas, The","BHS",2013,51.44855,NA
"57","Bahrain","BHR",2010,0.6955381,6.820462
"58","Bahrain","BHR",2011,0.7040417,NA
"59","Bahrain","BHR",2012,0.7272727,6.820462
"60","Bahrain","BHR",2013,0.7402597,NA
"61","Bangladesh","BGD",2010,11.07782,4.237139
"62","Bangladesh","BGD",2011,11.05785,NA
"63","Bangladesh","BGD",2012,11.03787,4.237139
"64","Bangladesh","BGD",2013,11.0179,NA
"65","Barbados","BRB",2010,14.65116,0.07992061
"66","Barbados","BRB",2011,14.65116,NA
"67","Barbados","BRB",2012,14.65116,0.07992061
"68","Barbados","BRB",2013,14.65116,NA
"69","Belarus","BLR",2010,42.06013,8.277811
"70","Belarus","BLR",2011,42.15613,NA
"71","Belarus","BLR",2012,42.2542,8.277811
"72","Belarus","BLR",2013,42.35227,NA
"73","Belgium","BEL",2010,22.4967,24.46791
"74","Belgium","BEL",2011,22.51123,NA
"75","Belgium","BEL",2012,22.52576,24.46791
"76","Belgium","BEL",2013,22.54029,NA
"77","Belize","BLZ",2010,60.99912,26.29686
"78","Belize","BLZ",2011,60.77904,NA
"79","Belize","BLZ",2012,60.55897,26.39055
"80","Belize","BLZ",2013,60.33932,NA
"81","Benin","BEN",2010,40.44874,25.51374
"82","Benin","BEN",2011,40.00532,NA
"83","Benin","BEN",2012,39.5619,25.51374
"84","Benin","BEN",2013,39.11848,NA
"85","Bermuda","BMU",2010,20,5.066611
"86","Bermuda","BMU",2011,20,NA
"87","Bermuda","BMU",2012,20,5.066611
"88","Bermuda","BMU",2013,20,NA
"89","Bhutan","BTN",2010,70.97332,28.35433
"90","Bhutan","BTN",2011,71.23383,NA
"91","Bhutan","BTN",2012,71.49435,28.35433
"92","Bhutan","BTN",2013,71.75486,NA
"93","Bolivia","BOL",2010,51.88683,20.83394
"94","Bolivia","BOL",2011,51.62005,NA
"95","Bolivia","BOL",2012,51.35327,20.83394
"96","Bolivia","BOL",2013,51.08649,NA
"97","Bosnia and Herzegovina","BIH",2010,42.67578,1.509331
"98","Bosnia and Herzegovina","BIH",2011,42.67578,NA
"99","Bosnia and Herzegovina","BIH",2012,42.67578,1.509331
"100","Bosnia and Herzegovina","BIH",2013,42.67578,NA
"101","Botswana","BWA",2010,20.02894,37.18967
"102","Botswana","BWA",2011,19.84861,NA
"103","Botswana","BWA",2012,19.66827,37.1921
"104","Botswana","BWA",2013,19.48794,NA
"105","Brazil","BRA",2010,59.63743,25.97465
"106","Brazil","BRA",2011,59.5197,NA
"107","Brazil","BRA",2012,59.40197,25.97465
"108","Brazil","BRA",2013,59.28424,NA
"109","Brunei Darussalam","BRN",2010,72.10626,29.57592
"110","Brunei Darussalam","BRN",2011,72.10626,NA
"111","Brunei Darussalam","BRN",2012,72.10626,29.57592
"112","Brunei Darussalam","BRN",2013,72.10626,NA
"113","Bulgaria","BGR",2010,34.42336,35.40855
"114","Bulgaria","BGR",2011,34.5818,NA
"115","Bulgaria","BGR",2012,34.74024,35.43568
"116","Bulgaria","BGR",2013,34.89867,NA
"117","Burkina Faso","BFA",2010,20.64693,15.19144
"118","Burkina Faso","BFA",2011,20.42836,NA
"119","Burkina Faso","BFA",2012,20.2098,15.19144
"120","Burkina Faso","BFA",2013,19.99123,NA
"121","Burundi","BDI",2010,9.852025,4.886154
"122","Burundi","BDI",2011,10.03115,NA
"123","Burundi","BDI",2012,10.21028,4.886154
"124","Burundi","BDI",2013,10.38941,NA
"125","Cabo Verde","CPV",2010,21.11414,0.1601414
"126","Cabo Verde","CPV",2011,21.35236,NA
"127","Cabo Verde","CPV",2012,21.59305,0.1601414
"128","Cabo Verde","CPV",2013,21.83127,NA
"129","Cambodia","KHM",2010,57.18332,23.756
"130","Cambodia","KHM",2011,56.46159,NA
"131","Cambodia","KHM",2012,55.73986,23.756
"132","Cambodia","KHM",2013,55.01813,NA
"133","Cameroon","CMR",2010,42.13154,10.91151
"134","Cameroon","CMR",2011,41.66614,NA
"135","Cameroon","CMR",2012,41.20074,10.91457
"136","Cameroon","CMR",2013,40.73533,NA
"137","Canada","CAN",2010,38.19229,6.898012
"138","Canada","CAN",2011,38.18717,NA
"139","Canada","CAN",2012,38.18204,7.02138
"140","Canada","CAN",2013,38.17692,NA
"141","Caribbean small states","CSS",2010,85.29885,9.897359
"142","Caribbean small states","CSS",2011,85.25461,NA
"143","Caribbean small states","CSS",2012,85.21037,9.902387
"144","Caribbean small states","CSS",2013,85.16616,NA
"145","Cayman Islands","CYM",2010,52.91667,1.538044
"146","Cayman Islands","CYM",2011,52.91667,NA
"147","Cayman Islands","CYM",2012,52.91667,1.538044
