"","X1","CountryName","finalscore_child","finalrank_comm","finalrank_diversity","finalrank_edu","finalrank_emission","finalrank_empl","finalrank_eng","finalrank_env","finalrank_deficit","finalrank_gen","finalrank_GDP","finalrank_pop","finalscore_security","finalrank_tourism","finalrank_hpi","finalrank_neg","finalrank_pos","ourindex","finalindex","region","sub.region"
"1",1,"Afghanistan",126,176.5,31,120,35,103,160,200,69,50,128,118,70,103,132.5,106,23,103,153.5,"Asia","Southern Asia"
"2",2,"Albania",81,97,147,36,77,98,23.5,122,72.59375,85,86,21,58,10,64,114,42,72.59375,58,"Europe","Southern Europe"
"3",3,"Algeria",91,134,111,86.8571428571429,110,62,159,175,16,34,113.5,41,24,87,58.5,86.8571428571429,86.8571428571429,86.8571428571429,109,"Africa","Northern Africa"
"4",4,"Angola",135,161,29,105,70,86.8928571428571,46,61.5,60,22,141,115,101,86.8928571428571,86.8928571428571,136,34,86.8928571428571,110,"Africa","Middle Africa"
"5",5,"Argentina",52,35,120,27.5,126,54,110,163,3,25,8,15,78,60,28,90,137,66.5588235294118,36,"Americas","South America"
"6",6,"Armenia",86,94,141,10.5,76,81,75,152,27,153,132,52,37,45,120.5,150,4,84.4705882352941,98,"Asia","Western Asia"
"7",7,"Australia",13,55,140,64.2333333333333,191,18,106,120,64.2333333333333,53,30,3,15,43,10.5,49,117,64.2333333333333,32,"Oceania","Australia and New Zealand"
"8",8,"Austria",8,6,145,123,166,29,35.5,27.5,46.875,41,10,13.5,8,12,8.5,9,108,46.875,8,"Europe","Western Europe"
"9",9,"Azerbaijan",84,89,129,2.5,113,105,125,150,6,119,108,129.5,41,39,82.75,72,12,82.75,93,"Asia","Western Asia"
"10",10,"Bahrain",36,9,68,61.5,193,3,171.5,180,93.875,165,84.5,150,5,93.875,93.875,93.875,93.875,93.875,127,"Asia","Western Asia"
"11",11,"Bangladesh",120,176.5,124,106,37,106,63.5,172,61,90,72,125.5,45,97.8,93.5,75,97.8,97.8,136,"Asia","Southern Asia"
"12",12,"Barbados",54,50,98.35,98.35,136,42,147,189,15,109.5,98.35,155,86,98.35,98.35,98.35,98.35,98.35,140,"Americas","Caribbean"
"13",13,"Belarus",31,83.5,100,69.6538461538462,153,69.6538461538462,105,88,69.6538461538462,51,33,22.5,59,75,53.5,51,69.6538461538462,69.6538461538462,47,"Europe","Eastern Europe"
"14",14,"Belgium",19,47.5,65,54.4,174,34,77.5,66,54.4,16,15,54.5,34,17,17.5,67,112,54.4,18,"Europe","Western Europe"
"15",15,"Belize",82,146.5,86.4615384615385,86.4615384615385,83,86.4615384615385,97,11,27,178.5,91,75,120,86.4615384615385,37,88,88,86.4615384615385,108,"Americas","Central America"
"16",16,"Benin",136,164.5,55,94.2,41,121,49.5,37,36,167,109,142,72,94.2,138,112,33,94.2,129,"Africa","Western Africa"
"17",17,"Bhutan",83,143,58,82.2692307692308,52,108,81,5,82.2692307692308,164,82.2692307692308,58,41,82.2692307692308,58.5,98,120,82.2692307692308,92,"Asia","Southern Asia"
"18",18,"Bolivia",87,128,32,51,78,99,65.5,27.5,65,2,104,64,107,72,45,147,101,75,66,"Americas","South America"
"19",19,"Bosnia and Herzegovina",35,111,41,23,140,56,86,131.5,74,80,67,77,20,74,98.5,131,13,74,62,"Europe","Southern Europe"
"20",20,"Botswana",97,102,104,76,98,66,82,55,78,157,99,81,108,88.71875,93.5,47,76,88.71875,115,"Africa","Southern Africa"
"21",21,"Brazil",70,63.5,70,66.5,91,64,25.5,13,7,156,46.5,60,116,90,24,104,110,69.2352941176471,46,"Americas","South America"
"22",22,"Brunei Darussalam",44,69.5,70.45,38.5,198,70.45,184,3,9,70.45,82,73.5,3,70.45,70.45,70.45,70.45,70.45,51,"Asia","South-Eastern Asia"
"23",23,"Bulgaria",56,54,114,50,147,26,62,32.5,62.375,87,56,46,25,33,120.5,65,24,62.375,29,"Europe","Eastern Europe"
"24",24,"Burkina Faso",121,180.5,40,91.0714285714286,14,91.0714285714286,120,107,71,130.5,88,150,7,91.0714285714286,125,95,26,91.0714285714286,121,"Africa","Western Africa"
"25",25,"Burundi",116,204,108,107.928571428571,1,122,111,169,107.928571428571,44,155,205.5,62,107.928571428571,136.5,46,31,107.928571428571,161,"Africa","Eastern Africa"
