CountryName,CountryCode,finalscore_child,finalrank_comm,Ethnic Diversity Rank,finalrank_edu,finalrank_emission,finalrank_empl,finalrank_eng,finalrank_env,finalrank_deficit,finalrank_gen,finalrank_GDP,finalrank_pop,finalscore_security,finalrank_tourism,finalrank_hpi
Argentina,ARG,52,24,120,27.5,126,54,79,166.5,3,25,8,18,79,60,25.5
Armenia,ARM,87,92,141,10.5,76,81,62,155.5,27,155,134.5,67,38,45,78
Bolivia,BOL,88,131,32,51,78,99,135.5,27.5,66,2,107.5,78,109,72,101
Brazil,BRA,71,51.5,70,66.5,91,64,105,13,7,158,47,73,119,90,36
Chile,CHL,28,37.5,83,33,125,65,82,115,16,120,33.5,14,53,61,20
China,CHN,46,120,138,36,148,25,96.5,102.5,49,71,13,102,13,78,69
Colombia,COL,75,89,47,68,81,91,124,26,47,92,46,87.5,113,74,27
Dominican Republic,DOM,96,127,98,74,93,85,120,52,56,83,43,154,118,91,73.5
Ecuador,ECU,37,118,48,65,97,82,122,9,41,8,79,72,109,77,29
Georgia,GEO,48,79,86,12.5,79,100,111.5,126,43,151,103,90,58,24,55.5
Guatemala,GTM,106,129,84,88,54,93,140,41,51,134,75.5,156,117,76,55.5
Honduras,HND,100,141.5,132,81,63,94,138.5,50,48,60,120,111,121,84,90
India,IND,123,156,17,101,80,115,144,149.5,59,147,86,200,53,97,89
Indonesia,IDN,94,117,24,61.5,89,101,127,69.5,35,106,24,133.5,4,94,50
Mauritius,MUS,53,81.5,53,72,107,49,55,185,22,150,48,140,42,58,61.5
Mexico,MEX,60,132,71,60,116,70,92,84,18,19,16,64,107,67,11
Morocco,MAR,81,57,90,105.5,84,95,117,141.5,20,108,67.5,109,26,81,59
Paraguay,PRY,59,113,143,53,56,84,119,106,44,122,59.5,61,92,79,91.5
Peru,PER,54,122,51,59,87,89,129,24,34,75,27,47,73,73,40
South Africa,ZAF,120,53,8,54,172,32,106.5,171,9,7,61,154,119,70,124
Sri Lanka,LKA,15,134,93,71,50,86,142,78.5,83,176,82,135,48,83,48
Thailand,THA,42,81.5,92,64,127,96,104,78.5,31,174,31,107,72,71,21.5
Trinidad and Tobago,TTO,102,37.5,50,21,201,51,40,76,38,47,97,195,116,57,103
Tunisia,TUN,75,78,74,83,100,61,113,183,2,37,117,77,54,56,78
Turkey,TUR,69,116,113,44,122,71,89.5,181,1,125,54,87.5,67,69,70.5
Uganda,UGA,68,174.5,4,102,13,113,190,137,75,28,147,187,95,98,127
Uruguay,URY,55,29,125,36,90,60,102,189.5,16,117,64,17,80,26,17
Zimbabwe,ZWE,112,149,101,86,49,104,154,33,86,35,122,170,79,88,117.5
