"","CountryName","mean_pa","finalrank_pos"
"1","Afghanistan",0.590264717888889,23
"2","Albania",0.639670875444444,42
"3","Angola",0.61333888775,34
"4","Argentina",0.843868131181818,137
"5","Armenia",0.536160238818182,4
"6","Australia",0.8131091117,117
"7","Austria",0.800320360333333,108
"8","Azerbaijan",0.562814544545455,12
"9","Belgium",0.8070986212,112
"10","Belize",0.7568803425,88
"11","Benin",0.6089127065,33
"12","Bhutan",0.815743068666667,120
"13","Bolivia",0.775780764272727,101
"14","Bosnia and Herzegovina",0.566111187222222,13
"15","Botswana",0.714012358111111,76
"16","Brazil",0.803003235272727,110
"17","Bulgaria",0.595287025125,24
"18","Burkina Faso",0.6042865455,26
"19","Burundi",0.60622275625,31
"20","Cameroon",0.624742936090909,38
"21","Canada",0.858124662636364,143
"22","Central African Republic",0.54842719425,9
"23","Chad",0.560901435909091,10
"24","Chile",0.814671521818182,118
"25","China",0.81469221,119
"26","Colombia",0.826597956,128
"27","Comoros",0.6695878955,53
"28","Congo (Brazzaville)",0.597123060857143,25
"29","Congo (Kinshasa)",0.589391052571429,21
"30","Costa Rica",0.866597457181818,146
"31","Croatia",0.605494298,29
"32","Cuba",0.646711767,44
"33","Cyprus",0.761555936555556,89
"34","Czech Republic",0.690609468444444,63
"35","Denmark",0.807401169454545,113
"36","Dominican Republic",0.771706261272727,97
"37","Ecuador",0.843963260090909,138
"38","Egypt",0.605641663090909,30
"39","El Salvador",0.836136303181818,133
"40","Estonia",0.6645994067,51
"41","Ethiopia",0.697996664,68
"42","Finland",0.777480953222222,106
"43","France",0.777224741090909,104
"44","Gabon",0.562764937666667,11
"45","Georgia",0.513151824363636,2
"46","Germany",0.773614780454545,99
"47","Ghana",0.716369921363636,78
"48","Greece",0.6708536269,54
"49","Guatemala",0.841543929,136
"50","Guinea",0.660115242,49
"51","Guyana",0.767540574,93
"52","Haiti",0.588466147666667,20
"53","Honduras",0.818164988,122
"54","Hong Kong S.A.R., China",0.713979907375,75
"55","Hungary",0.6719444573,56
"56","Iceland",0.8744273424,147
"57","India",0.687323976636364,61
"58","Indonesia",0.847905148090909,140
"59","Iran",0.628183590111111,40
"60","Ireland",0.83993752,135
"61","Israel",0.682519674272727,59
"62","Italy",0.691202960181818,65
"63","Ivory Coast",0.6722905516,57
"64","Jamaica",0.77378118025,100
"65","Japan",0.770779002727273,96
"66","Jordan",0.653350429090909,46
"67","Kazakhstan",0.693146217909091,66
"68","Kenya",0.753213177909091,87
"69","Kyrgyzstan",0.686720138181818,60
"70","Laos",0.8785677314,149
"71","Latvia",0.6170262992,35
"72","Lebanon",0.542541964363636,7
"73","Lesotho",0.7629693745,91
"74","Liberia",0.579369545,16
"75","Libya",0.705539663333333,71
"76","Lithuania",0.571107791272727,14
"77","Luxembourg",0.77735510475,105
"78","Macedonia",0.605482432666667,28
"79","Madagascar",0.7016041055,70
"80","Malawi",0.715471413333333,77
"81","Malaysia",0.8030215561,111
"82","Mali",0.7425551474,84
"83","Malta",0.69648929675,67
"84","Mauritania",0.7626520515,90
"85","Mauritius",0.777119060333333,103
"86","Mexico",0.810873860636364,115
"87","Moldova",0.584611583909091,18
"88","Mongolia",0.652665277333333,45
"89","Montenegro",0.585704564888889,19
"90","Mozambique",0.6072877288,32
"91","Myanmar",0.8190974712,124
"92","Namibia",0.7797661125,107
"93","Nepal",0.654237758,48
"94","Netherlands",0.8459052384,139
"95","New Zealand",0.851445365,142
"96","Nicaragua",0.800667518727273,109
"97","Niger",0.688556985363636,62
"98","Nigeria",0.752409266,86
"99","North Cyprus",0.679981005,58
"100","Norway",0.828735560166667,130
"101","Palestinian Territories",0.576020479272727,15
"102","Panama",0.849421430636364,141
"103","Paraguay",0.865312159090909,145
"104","Peru",0.770683451090909,95
"105","Philippines",0.827121821181818,129
"106","Poland",0.7487361969,85
"107","Portugal",0.705886715111111,72
"108","Romania",0.6232634484,37
"109","Russia",0.625270269181818,39
"110","Rwanda",0.713365316444444,74
"111","Saudi Arabia",0.727747310272727,81
"112","Senegal",0.734140358181818,83
"113","Serbia",0.529977142777778,3
"114","Sierra Leone",0.542222857444444,6
"115","Singapore",0.6994421421,69
"116","Slovakia",0.690816059625,64
"117","Slovenia",0.645761615666667,43
"118","Somalia",0.875514845,148
"119","Somaliland region",0.768032193,94
"120","South Africa",0.772084154818182,98
"121","South Korea",0.665191363,52
"122","South Sudan",0.605024238333333,27
"123","Spain",0.733788636545455,82
"124","Sri Lanka",0.8087917744,114
"125","Sudan",0.6210008266,36
"126","Suriname",0.764222682,92
"127","Swaziland",0.820613265,125
"128","Sweden",0.823773871727273,127
"129","Switzerland",0.8175766865,121
"130","Syria",0.508668703714286,1
"131","Taiwan Province of China",0.829069137555556,131
"132","Tajikistan",0.653817231090909,47
"133","Tanzania",0.724360276272727,79
"134","Thailand",0.859526265727273,144
"135","Togo",0.540516277333333,5
"136","Trinidad and Tobago",0.83837963625,134
"137","Turkey",0.580119734454545,17
"138","Turkmenistan",0.662845628571429,50
"139","Uganda",0.671435903272727,55
"140","Ukraine",0.589814771272727,22
"141","United Kingdom",0.818791465272727,123
"142","United States",0.833609060727273,132
"143","Uruguay",0.812314943636364,116
"144","Uzbekistan",0.7761288166,102
"145","Venezuela",0.823427747636364,126
"146","Vietnam",0.631631406727273,41
"147","Yemen",0.545320080333333,8
"148","Zambia",0.7266091525,80
"149","Zimbabwe",0.711869039454545,73
