"","CountryName","mean_dys","finalrank_dys"
"1","Afghanistan",2.15080118179321,117
"2","Albania",1.49044156074524,27
"3","Algeria",2.56760382652283,142
"4","Angola",1.61448240280151,42
"5","Argentina",2.61400532722473,143
"6","Armenia",1.5214991569519,32
"7","Australia",2.06521081924438,106
"8","Austria",2.1385064125061,116
"9","Azerbaijan",1.76248168945312,67
"10","Bahrain",1.65614938735962,49
"11","Bangladesh",1.97873616218567,96
"12","Belarus",1.72323298454285,61
"13","Belgium",2.12421035766602,114
"14","Belize",2.63195562362671,145
"15","Benin",1.88563096523285,89
"16","Bhutan",1.14018440246582,13
"17","Bolivia",2.44327902793884,137
"18","Bosnia and Herzegovina",1.89217257499695,92
"19","Botswana",0.3779137134552,1
"20","Brazil",2.76926708221436,148
"21","Bulgaria",0.996139287948608,7
"22","Burkina Faso",1.72721290588379,63
"23","Burundi",1.68302416801453,52
"24","Cambodia",1.04294109344482,8
"25","Cameroon",2.3336455821991,133
"26","Canada",2.18726444244385,120
"27","Central African Republic",2.06600475311279,109
"28","Chad",2.07123804092407,110
"29","Chile",2.50958585739136,140
"30","China",1.76493859291077,68
"31","Colombia",2.61606812477112,144
"32","Congo (Brazzaville)",1.72413563728333,62
"33","Congo (Kinshasa)",2.22495865821838,124
"34","Costa Rica",2.89863920211792,154
"35","Croatia",1.85449242591858,83
"36","Cyprus",1.62124919891357,45
"37","Czech Republic",2.45186185836792,138
"38","Denmark",2.31370735168457,131
"39","Dominican Republic",1.31946516036987,18
"40","Ecuador",2.29035258293152,128
"41","Egypt",1.70216107368469,58
"42","El Salvador",2.7145938873291,147
"43","Estonia",1.35750865936279,21
"44","Ethiopia",2.01574373245239,101
"45","Finland",2.4301815032959,136
"46","France",2.00595474243164,99
"47","Gabon",1.32291626930237,19
"48","Georgia",1.50013780593872,29
"49","Germany",2.01576995849609,102
"50","Ghana",1.57786750793457,38
"51","Greece",1.74922156333923,66
"52","Guatemala",2.89389109611511,153
"53","Guinea",1.55231189727783,36
"54","Haiti",1.69716763496399,56
"55","Honduras",2.06581115722656,108
"56","Hong Kong S.A.R., China",0.554633140563965,4
"57","Hungary",1.71645927429199,60
"58","Iceland",2.32271528244019,132
"59","India",1.5191171169281,31
"60","Indonesia",1.42947697639465,23
"61","Iran",1.49873495101929,28
"62","Iraq",1.31890726089478,17
"63","Ireland",1.77386903762817,69
"64","Israel",2.80175733566284,150
"65","Italy",1.81331205368042,75
"66","Ivory Coast",1.84496426582336,81
"67","Jamaica",1.61232566833496,41
"68","Japan",1.36322355270386,22
"69","Jordan",1.79117655754089,73
"70","Kazakhstan",1.78489255905151,70
"71","Kenya",1.6519021987915,48
"72","Kosovo",2.01054072380066,100
"73","Kuwait",1.64042520523071,46
"74","Kyrgyzstan",1.53672313690186,34
