"","CountryName","mean_CO2","finalrank_emission"
"1","Afghanistan",0.36409925,35
"2","Albania",1.561335,77
"3","Algeria",3.312975,110
"4","Andorra",6.0467275,144
"5","Angola",1.377831,70
"6","Antigua and Barbuda",5.9175365,141
"7","Argentina",4.4521605,126
"8","Armenia",1.5473275,76
"9","Aruba",24.052555,199
"10","Australia",16.615055,191
"11","Austria",7.948838,166
"12","Azerbaijan",3.5178025,113
"13","Bahamas, The",6.0145825,142
"14","Bahrain",18.191175,193
"15","Bangladesh",0.37118855,37
"16","Barbados",5.505258,136
"17","Belarus",6.61953,153
"18","Belgium",9.419687,174
"19","Belize",1.6963065,83
"20","Benin",0.5258667,41
"21","Bermuda",6.698623,154
"22","Bhutan",0.7216753,52
"23","Bolivia",1.573579,78
"24","Bosnia and Herzegovina",5.855323,140
"25","Botswana",2.439319,98
"26","Brazil",2.1524045,91
"27","Brunei Darussalam",23.132615,198
"28","Bulgaria",6.3406335,147
"29","Burkina Faso",0.11382685,14
"30","Burundi",0.020946005,1
"31","Cabo Verde",0.7286463,53
"32","Cambodia",0.29981195,31
"33","Cameroon",0.29690955,30
"34","Canada",14.36243,188
"35","Caribbean small states",9.84873,175
"36","Cayman Islands",10.23919,176
"37","Central African Republic",0.061263075,5
"38","Chad",0.043646485,2
"39","Chile",4.431585,125
"40","China",6.4413955,148
"41","Colombia",1.63601,81
"42","Comoros",0.20458715,24
"43","Congo, Dem. Rep.",0.049815375,3
"44","Congo, Rep.",0.5057853,40
"45","Costa Rica",1.685076,82
"46","Cote d'Ivoire",0.3026146,32
"47","Croatia",4.765176,130
"48","Cuba",3.2823035,109
"49","Cyprus",6.859642,156
"50","Czech Republic",10.52223,179
"51","Denmark",7.8214935,164
"52","Djibouti",0.59214385,45
"53","Dominica",1.826315,85
"54","Dominican Republic",2.170661,93
"55","Ecuador",2.32366,97
"56","Egypt, Arab Rep.",2.564966,102
"57","El Salvador",1.0742685,62
"58","Equatorial Guinea",7.664152,161
"59","Eritrea",0.10909445,12
"60","Estonia",13.91154,187
"61","Ethiopia",0.079767345,7
"62","Faeroe Islands",12.353945,185
"63","Fiji",1.4650365,73
