"","CountryName","finalrank_eng1","finalrank_eng2","finalrank_eng3","score_eng","finalrank_eng"
"1","Afghanistan",70,115,136,107,160
"2","Albania",1,64,44,36.3333333333333,23.5
"3","Algeria",7,183,129,106.333333333333,159
"4","American Samoa",57,187,137,127,190
"5","Andorra",1,188,138,109,164
"6","Angola",76,42,24,47.3333333333333,46
"7","Antigua and Barbuda",32,189,139,120,179
"8","Argentina",21,133,100,84.6666666666667,110
"9","Armenia",3,135,57,65,75
"10","Aruba",32,144,140,105.333333333333,157
"11","Australia",1,138,110,83,106
"12","Austria",1,75,51,42.3333333333333,35.5
"13","Azerbaijan",6,154,120,93.3333333333333,125
"14","Bahamas",1,168,141,103.333333333333,152
"15","Bahrain",23,190,130,114.333333333333,171.5
"16","Bangladesh",58,61,58,59,63.5
"17","Barbados",32,132,142,102,147
"18","Belarus",1,140,104,81.6666666666667,105
"19","Belgium",1,143,54,66,77.5
"20","Belize",7,83,143,77.6666666666667,97
"21","Benin",78,48,27,51,49.5
"22","Bermuda",1,191,144,112,166.5
"23","Bhutan",49,7,145,67,81
"24","Bolivia",39,77,62,59.3333333333333,65.5
"25","Bosnia and Herzegovina",4,107,107,72.6666666666667,86
"26","Botswana",66,90,47,67.6666666666667,82
"27","Brazil",16,57,38,37,25.5
"28","Brunei Darussalam",48,185,133,122,184
"29","Bulgaria",1,110,63,58,62
"30","Burkina Faso",102,20,146,89.3333333333333,120
"31","Burundi",107,1,147,85,111
"32","Cabo Verde",50,88,148,95.3333333333333,132.5
"33","Cambodia",80,33,16,43,38
"34","Cameroon",63,27,18,36,21.5
"35","Canada",1,97,61,53,56.5
"36","Caribbean small states",27,137,121,95,130.5
"37","Cayman Islands",32,192,149,124.333333333333,186
"38","Central African Republic",104,25,150,93,123.5
"39","Chad",108,6,151,88.3333333333333,118.5
"40","Channel Islands",1,193,152,115.333333333333,176
"41","Chile",11,81,65,52.3333333333333,54.5
"42","China",4,103,92,66.3333333333333,79.5
"43","Colombia",22,82,69,57.6666666666667,61
"44","Comoros",54,52,153,86.3333333333333,114
"45","Costa Rica",16,59,34,36.3333333333333,23.5
"46","Cote d'Ivoire",59,32,14,35,18
"47","Croatia",1,101,77,59.6666666666667,67
"48","Cuba",1,102,88,63.6666666666667,71.5
"49","Curacao",32,194,154,126.666666666667,189
"50","Cyprus",1,139,111,83.6666666666667,108
"51","Czech Republic",1,126,72,66.3333333333333,79.5
"52","Democratic Republic of Congo",97,2,1,33.3333333333333,15
"53","Denmark",1,89,66,52,53
"54","Djibouti",62,70,155,95.6666666666667,135
"55","Dominica",31,127,156,104.666666666667,154
"56","Dominican Republic",17,114,98,76.3333333333333,92
"57","Ecuador",20,116,94,76.6666666666667,93.5
"58","Egypt, Arab Rep.",5,145,115,88.3333333333333,118.5
"59","El Salvador",28,71,32,43.6666666666667,40
"60","Equatorial Guinea",52,78,157,95.6666666666667,135
"61","Eritrea",77,21,13,37,25.5
"62","Estonia",1,85,11,32.3333333333333,11
"63","Ethiopia",86,3,2,30.3333333333333,8
"64","Faeroe Islands",1,195,158,118,177
"65","Fiji",57,120,159,112,166.5
"66","Finland",1,67,28,32,9
"67","France",1,119,35,51.6666666666667,51.5
"68","French Polynesia",57,128,160,115,174
"69","Gabon",37,35,25,32.3333333333333,11
"70","Gambia",79,55,161,98.3333333333333,139
"71","Georgia",1,73,55,43,38
"72","Germany",1,121,76,66,77.5
"73","Ghana",53,46,26,41.6666666666667,32.5
"74","Greece",1,118,101,73.3333333333333,88
"75","Greenland",1,196,162,119.666666666667,178
"76","Grenada",32,129,163,108,163
"77","Guam",57,197,164,139.333333333333,203.5
"78","Guatemala",42,37,20,33,13.5
"79","Guinea",87,30,165,94,127
"80","Guinea-Bissau",55,12,166,77.6666666666667,97
"81","Guyana",43,69,167,93,123.5
"82","Haiti",75,23,8,35.3333333333333,19.5
"83","Honduras",41,45,37,41,31
"84","Hong Kong SAR, China",1,174,108,94.3333333333333,129
"85","Hungary",1,131,59,63.6666666666667,71.5
"86","Iceland",1,29,7,12.3333333333333,1
"87","India",44,60,60,54.6666666666667,58
"88","Indonesia",24,63,50,45.6666666666667,42
"89","Iran",13,176,128,105.666666666667,158
"90","Iraq",15,169,118,100.666666666667,144
"91","Ireland",1,142,89,77.3333333333333,95
"92","Isle of Man",1,198,168,122.333333333333,185
"93","Israel",1,134,116,83.6666666666667,108
"94","Italy",1,123,83,69,83
"95","Jamaica",30,111,80,73.6666666666667,89.5
"96","Japan",1,148,102,83.6666666666667,108
"97","Jordan",9,160,117,95.3333333333333,132.5
"98","Kazakhstan",1,172,125,99.3333333333333,140.5
"99","Kenya",88,28,10,42,34
"100","Kiribati",57,162,169,129.333333333333,192
"101","Korea, Dem. Rep.",84,109,84,92.3333333333333,122
"102","Kosovo",1,98,93,64,74
"103","Kuwait",23,199,170,130.666666666667,194
"104","Kyrgyzstan",1,87,56,48,47
"105","Lao PDR",51,14,171,78.6666666666667,100
"106","Latvia",1,65,46,37.3333333333333,27
"107","Lebanon",2,147,114,87.6666666666667,116.5
"108","Lesotho",93,151,172,138.666666666667,202
"109","Liberia",106,9,173,96,137
"110","Libya",1,167,126,98,138
"111","Liechtenstein",1,200,174,125,187.5
"112","Lithuania",1,92,64,52.3333333333333,54.5
"113","Luxembourg",1,153,86,80,103
"114","Macao SAR, China",33,182,175,130,193
"115","Macedonia",8,100,78,62,69
"116","Madagascar",99,24,176,99.6666666666667,142.5
"117","Malawi",105,26,177,102.666666666667,149
"118","Malaysia",7,141,112,86.6666666666667,115
"119","Maldives",2,158,178,112.666666666667,168.5
"120","Mali",89,17,179,95,130.5
"121","Malta",1,170,127,99.3333333333333,140.5
"122","Marshall Islands",57,201,180,146,206
"123","Mauritania",92,72,181,115,174
"124","Mauritius",1,155,79,78.3333333333333,99
"125","Mexico",14,130,97,80.3333333333333,104
"126","Micronesia",57,202,182,147,208
"127","Moldova",11,149,109,89.6666666666667,121
