"","CountryName","finalrank_env"
"1","Afghanistan",205
"2","Albania",126
"3","Algeria",180
"4","American Samoa",14
"5","Andorra",115.5
"6","Angola",62.5
"7","Antigua and Barbuda",174.5
"8","Argentina",167.5
"9","Armenia",156.5
"10","Aruba",208
"11","Australia",124
"12","Austria",27.5
"13","Azerbaijan",155
"14","Bahamas, The",129.5
"15","Bahrain",185
"16","Bangladesh",177
"17","Barbados",194
"18","Belarus",88.5
"19","Belgium",69.5
"20","Belize",11
"21","Benin",37.5
"22","Bermuda",156.5
"23","Bhutan",4.5
"24","Bolivia",27.5
"25","Bosnia and Herzegovina",133.5
"26","Botswana",57
"27","Brazil",13
"28","Brunei Darussalam",3
"29","Bulgaria",32.5
"30","Burkina Faso",113
"31","Burundi",174.5
"32","Cabo Verde",190.5
"33","Cambodia",16
"34","Cameroon",82
"35","Canada",117
"36","Caribbean small states",43
"37","Cayman Islands",122.5
"38","Central African Republic",58
"39","Chad",132
"40","Channel Islands",197
"41","Chile",115.5
"42","China",103
"43","Colombia",26
"44","Comoros",163.5
"45","Congo, Dem. Rep.",42
"46","Congo, Rep.",7
"47","Costa Rica",25
"48","Cote d'Ivoire",62.5
"49","Croatia",105.5
"50","Cuba",125
"51","Cyprus",103
"52","Czech Republic",54.5
"53","Denmark",86
"54","Djibouti",209
"55","Dominica",90
"56","Dominican Republic",51.5
"57","Ecuador",9
"58","Egypt, Arab Rep.",173
"59","El Salvador",150.5
"60","Equatorial Guinea",40
"61","Eritrea",169
"62","Estonia",21
"63","Ethiopia",119
"64","Faeroe Islands",207
"65","Fiji",76
"66","Finland",22.5
"67","France",54.5
"68","French Polynesia",154
"69","Gabon",12
"70","Gambia, The",113
"71","Georgia",127
"72","Germany",37.5
"73","Ghana",65.5
"74","Greece",67.5
"75","Greenland",119
"76","Grenada",139
"77","Guam",100.5
"78","Guatemala",41
"79","Guinea",59
"80","Guinea-Bissau",6
"81","Guyana",60
"82","Haiti",205
"83","Honduras",50
"84","Hungary",72
"85","Iceland",165
"86","India",150.5
"87","Indonesia",69.5
"88","Iran, Islamic Rep.",170.5
"89","Iraq",205
"90","Ireland",142.5
"91","Israel",144
"92","Italy",67.5
"93","Jamaica",131
"94","Japan",46
"95","Jordan",200
"96","Kazakhstan",194
"97","Kenya",153
"98","Kiribati",99
"99","Korea, Dem. Rep.",129.5
"100","Korea, Rep.",71
"101","Kuwait",181
"102","Kyrgyz Republic",178.5
"103","Lao PDR",17
"104","Latvia",29
"105","Lebanon",192
"106","Lesotho",202.5
"107","Liberia",128
"108","Libya",210
"109","Liechtenstein",15
"110","Lithuania",62.5
"111","Luxembourg",35
"112","Macedonia, FYR",105.5
"113","Madagascar",159
"114","Malawi",65.5
"115","Malaysia",34
"116","Mali",178.5
"117","Malta",196
"118","Marshall Islands",108
"119","Mauritania",202.5
"120","Mauritius",186
"121","Mexico",84
"122","Micronesia, Fed. Sts.",109.5
"123","Middle income",109.5
"124","Moldova",176
"125","Monaco",111
"126","Mongolia",145.5
"127","Montenegro",45
"128","Morocco",142.5
"129","Mozambique",47
"130","Myanmar",95.5
"131","Namibia",76
"132","Nepal",91.5
"133","Netherlands",81
"134","New Caledonia",20
"135","New Zealand",49
"136","Nicaragua",53
"137","Niger",163.5
"138","Nigeria",141
"139","North America",91.5
"140","Northern Mariana Islands",19
"141","Norway",100.5
"142","Oman",183
"143","Other small states",51.5
"144","Pacific island small states",95.5
"145","Pakistan",166
"146","Palau",4.5
"147","Panama",37.5
"148","Papua New Guinea",86
"149","Paraguay",107
"150","Peru",24
"151","Philippines",147
"152","Poland",48
"153","Portugal",73.5
"154","Puerto Rico",88.5
"155","Qatar",201
"156","Romania",73.5
"157","Russian Federation",62.5
"158","Rwanda",137
"159","Samoa",103
"160","Sao Tome and Principe",133.5
"161","Saudi Arabia",122.5
"162","Senegal",30.5
"163","Serbia",135.5
"164","Seychelles",83
"165","Sierra Leone",95.5
"166","Singapore",162
"167","Slovak Republic",22.5
"168","Slovenia",1
"169","Small states",37.5
"170","Solomon Islands",93
"171","Somalia",194
"172","South Africa",172
"173","South Asia",158
"174","Spain",44
"175","Sri Lanka",78.5
"176","St. Kitts and Nevis",145.5
"177","St. Lucia",148
"178","St. Vincent and the Grenadines",98
"179","Sudan",161
"180","Suriname",18
"181","Swaziland",150.5
"182","Sweden",30.5
"183","Switzerland",56
"184","Syrian Arab Republic",198
"185","Tajikistan",187
"186","Tanzania",10
"187","Thailand",78.5
"188","Timor-Leste",86
"189","Togo",119
"190","Tonga",150.5
"191","Trinidad and Tobago",76
"192","Tunisia",184
"193","Turkey",182
"194","Turkmenistan",188
"195","Turks and Caicos Islands",135.5
"196","Tuvalu",170.5
"197","Uganda",138
"198","Ukraine",167.5
"199","United Arab Emirates",140
"200","United Kingdom",95.5
"201","United States",80
"202","Uruguay",190.5
"203","Uzbekistan",189
"204","Vanuatu",160
"205","Venezuela, RB",8
"206","Vietnam",113
"207","Virgin Islands (U.S.)",121
"208","Yemen, Rep.",199
"209","Zambia",2
"210","Zimbabwe",32.5
