"","CountryName","finalrank_mil","finalrank_ppp","finalrank_gdp","finalrank_gdpg","finalrank_infl","score_gdp","finalrank_GDP"
"1","Afghanistan",79,99,182,67,130,111.4,128
"2","Albania",73,118,112,86,69,91.6,86
"3","Algeria",149,32,104,121,107,102.6,113.5
"4","Angola",140,64,106,119.25,167,119.25,141
"5","Argentina",21,49.6666666666667,63,65,49.6666666666667,49.6666666666667,8
"6","Armenia",143,132,124,43,121,112.6,132
"7","Australia",98,20,9,130,70,65.4,30
"8","Austria",22,41,18,139,59,55.8,10
"9","Azerbaijan",148,63,86,106,100.75,100.75,108
"10","Bahrain",141,98,42,120,52,90.6,84.5
"11","Bangladesh",56,37,171,22,147,86.6,72
"12","Belarus",65,61,90,50,66.5,66.5,33
"13","Belgium",37,34,21,153,49,58.8,15
"14","Belize",38,171,109,144,6,93.6,91
"15","Benin",32,136,174,104,61,101.4,109
"16","Bolivia",83,92,138,49,126,97.6,104
"17","Bosnia and Herzegovina",52,108,110,135,15,84,67
"18","Botswana",112,112,89,30,136,95.8,99
"19","Brazil",74,7,66,92,128,73.4,46.5
"20","Brunei Darussalam",124,116,29,179,3,90.2,82
"21","Bulgaria",88,76,82,113,36,79,56
"22","Burkina Faso",69,126,178,78,12,92.6,88
"23","Burundi",110,156,198,138,159,152.2,155
"24","Cabo Verde",8,168,123,131,53,96.6,102
"25","Cambodia",90,105,169,18,95,95.4,97.5
"26","Cameroon",71,96,160,95,58,96,100
"27","Canada",45,15,16,119,35,46,6
"28","Caribbean small states",25,79,74,156,64,79.6,57
"29","Central African Republic",123,165,193,191,68,148,154
"30","Chad",151,125,168,51,50,109,126
"31","Chile",104,45,55,54,75,66.6,34.5
"32","China",103,2,96,4,84,57.8,13
"33","Colombia",133,29,83,48,74,73.4,46.5
"34","Cote d'Ivoire",81,93,156,77,57,92.8,90
"35","Croatia",92,83,58,170,32,87,74.5
"36","Cuba",137,57,95,82,92.75,92.75,89
"37","Cyprus",96,122,35,185,14,90.4,83
"38","Czech Republic",41,48,48,136,29,60.4,20
"39","Democratic Republic of Congo",58,104,196,35,154,109.4,127
"40","Denmark",70,54,10,160,34,65.6,31
"41","Dominican Republic",15,72,100,46,119,70.4,42.5
"42","Ecuador",126,62,102,57,96,88.6,78
