"","CountryName","rank_gen","score_gen","finalrank_gen"
"1","Afghanistan",48,48,50
"2","Albania",81,81,85
"3","Algeria",32,32,34
"4","Andorra",17,17,17
"5","Angola",22,22,22
"6","Antigua and Barbuda",140,140,152
"7","Argentina",25,25,25
"8","Armenia",143,143,155
"9","Australia",51,51,53
"10","Austria",39,39,41
"11","Azerbaijan",111,111,121
"12","Bahamas, The",125,125,136
"13","Bahrain",155,155,167
"14","Bangladesh",85,85,90
"15","Barbados",102,102,110.5
"16","Belarus",49,49,51
"17","Belgium",16,16,16
"18","Belize",168,168,180.5
"19","Benin",157,157,169
"20","Bhutan",154,154,166
"21","Bolivia",2,2,2
"22","Bosnia and Herzegovina",77,77,80
"23","Botswana",147,147,159
"24","Brazil",146,146,158
"25","Bulgaria",83,83,87
"26","Burkina Faso",122,122,132.5
"27","Burundi",42,42,44
"28","Cabo Verde",78,78,81.5
"29","Cambodia",84,84,88
"30","Cameroon",37,37,39
"31","Canada",59,59,61
"32","Caribbean small states",94,94,100.5
"33","Chad",113,113,123
"34","Chile",110,110,120
"35","China",68,68,71
"36","Colombia",86,86,92
"37","Comoros",170,170,183.5
"38","Congo, Dem. Rep.",151,151,163
"39","Congo, Rep.",156,156,168
"40","Costa Rica",30,30,31
"41","Cote d'Ivoire",150,150,162
"42","Croatia",56,56,58
"43","Cuba",3,3,3
"44","Cyprus",131,131,142.5
"45","Czech Republic",85,85,90
"46","Denmark",20,20,20
"47","Djibouti",128,128,139
"48","Dominica",75,75,78
"49","Dominican Republic",79,79,83
"50","Ecuador",8,8,8
"51","El Salvador",31,31,33
"52","Equatorial Guinea",66,66,69
"53","Eritrea",73,73,76
"54","Estonia",67,67,70
"55","Fiji",117,117,127
"56","Finland",9,9,9
"57","France",54,54,56
"58","Gabon",116,116,126
"59","Gambia, The",149,149,161
"60","Georgia",139,139,151
"61","Germany",24,24,24
"62","Ghana",142,142,154
"63","Greece",71,71,74
"64","Grenada",30,30,31
"65","Guatemala",123,123,134
"66","Guinea",74,74,77
"67","Guinea-Bissau",119,119,129
"68","Guyana",27,27,27
"69","Haiti",167,167,179
"70","Honduras",58,58,60
"71","Hungary",145,145,157
"72","Iceland",12,12,12
"73","India",135,135,147
"74","Indonesia",99,99,106
"75","Iran, Islamic Rep.",169,169,182
"76","Iraq",52,52,54
"77","Ireland",105,105,115
"78","Israel",64,64,67
"79","Italy",38,38,40
"80","Jamaica",129,129,140
"81","Japan",148,148,160
"82","Jordan",134,134,146
"83","Kazakhstan",55,55,57
"84","Kenya",88,88,94
"85","Kiribati",153,153,165
"86","Korea, Dem. Rep.",104,104,114
"87","Korea, Rep.",103,103,113
"88","Kuwait",173,173,188
"89","Kyrgyz Republic",70,70,73
"90","Lao PDR",62,62,64.5
"91","Latvia",95,95,102
"92","Lebanon",168,168,180.5
"93","Lesotho",62,62,64.5
"94","Liberia",141,141,153
"95","Libya",109,109,119
"96","Liechtenstein",85,85,90
"97","Lithuania",69,69,72
"98","Luxembourg",46,46,48
"99","Macedonia, FYR",30,30,31
"100","Madagascar",82,82,86
"101","Malawi",102,102,110.5
"102","Malaysia",144,144,156
"103","Maldives",163,163,175
"104","Mali",152,152,164
"105","Malta",127,127,138
"106","Marshall Islands",170,170,183.5
"107","Mauritania",61,61,63
"108","Mauritius",138,138,150
"109","Mexico",19,19,19
"110","Micronesia, Fed. Sts.",175,175,192.5
"111","Moldova",76,76,79
"112","Monaco",78,78,81.5
"113","Mongolia",114,114,124
"114","Montenegro",98,98,105
"115","Morocco",101,101,108
"116","Mozambique",15,15,15
"117","Myanmar",159,159,171
"118","Namibia",10,10,10
"119","Nepal",43,43,45
"120","Netherlands",21,21,21
"121","New Zealand",34,34,36
"122","Nicaragua",11,11,11
"123","Niger",124,124,135
"124","Nigeria",165,165,177
"125","Norway",14,14,14
"126","Oman",174,174,189
"127","Other small states",93,93,99
