"","CountryName","finalrank_pop1","finalrank_pop2","finalrank_pop3","score_pop","finalrank_pop"
"1","Afghanistan",73,125,177,125,165.5
"2","Albania",125,17,47,63,31
"3","Algeria",30,54.5,79,54.5,16
"4","Angola",37,117,197,117,143
"5","Antigua and Barbuda",161,112.5,64,112.5,137
"6","Argentina",29,75,63,55.6666666666667,18
"7","Armenia",124,28,81,77.6666666666667,67
"8","Aruba",202,135.5,69,135.5,182
"9","Australia",4,46,10,20,3
"10","Austria",123,23,24,56.6666666666667,20
"11","Azerbaijan",131,127,123,127,171
"12","Bahamas, The",61,68,75,68,41.5
"13","Bahrain",212,134.5,57,134.5,179
"14","Bangladesh",208,30,116,118,148.5
"15","Barbados",205,136.5,68,136.5,183
"16","Belarus",69,4,111,61.3333333333333,29
"17","Belgium",190,14,30,78,68
"18","Belize",28,77.5,127,77.5,65.5
"19","Benin",118,80,179,125.666666666667,169
"20","Bermuda",209,118.5,28,118.5,151.5
"21","Bhutan",39,62,134,78.3333333333333,69.5
"22","Bolivia",16,88,141,81.6666666666667,78
"23","Bosnia and Herzegovina",96,78.5,61,78.5,71
"24","Botswana",11,83.5,156,83.5,81
"25","Brazil",47,97,93,79,73
"26","Brunei Darussalam",104,74,44,74,54.5
"27","Bulgaria",86,54,83,74.3333333333333,56.5
"28","Burkina Faso",84,133.5,183,133.5,177.5
"29","Burundi",195,192,189,192,203
"30","Cabo Verde",139,122,105,122,160
"31","Cambodia",112,25,142,93,96.5
"32","Cameroon",72,132,192,132,176
"33","Canada",10,40,18,22.6666666666667,4
"34","Caribbean small states",35,73.5,112,73.5,51
"35","Central African Republic",14,107.5,201,107.5,128.5
"36","Chad",17,79,199,98.3333333333333,108
"37","Channel Islands",206,117.5,29,117.5,145
"38","Chile",45,92,20,52.3333333333333,14
"39","China",146,73,67,95.3333333333333,102
"40","Colombia",64,98,98,86.6666666666667,87.5
"41","Comoros",194,179.5,165,179.5,202
"42","Congo, Dem. Rep.",53,74,182,103,118
"43","Congo, Rep.",21,66,171,86,84
"44","Costa Rica",117,91,39,82.3333333333333,80
"45","Cote d'Ivoire",90,144,198,144,190.5
"46","Croatia",97,30,51,59.3333333333333,23
"47","Cuba",126,82,38,82,79
"48","Curacao",189,118.5,48,118.5,151.5
"49","Cyprus",138,44,36,72.6666666666667,49
"50","Czech Republic",143,6,46,65,35
"51","Denmark",142,18,33,64.3333333333333,33.5
"52","Djibouti",60,83,170,104.333333333333,120
"53","Dominican Republic",168,86,102,118.666666666667,154
"54","Ecuador",83,87,66,78.6666666666667,72
"55","Egypt, Arab Rep.",114,117.5,121,117.5,145
"56","El Salvador",180,81,110,123.666666666667,162
