"","CountryName","IC.LGL.CRED.XQ","rank.legal","VC.IHR.PSRC.P5","rank.homi","finalscore_security"
"1","Afghanistan",9,4,6.450818,121,70
"2","Albania",7,7,4.028823,99,58
"3","Algeria",2,13,1.25025,38,24
"4","Angola",1,14,10.84578,163,101
"5","Antigua and Barbuda",5,10,11.22525,165,100
"6","Argentina",2,13,7.033634,128,78
"7","Armenia",5,10,2.018127,63,37
"8","Australia",11,2,1.072805,33,15
"9","Austria",5,10,0.7143091,13,8
"10","Azerbaijan",2,13,2.358848,67,41
"11","Bahamas",6,8,29.70479,187,114
"12","Bahrain",1,14,0.545038,6,5
"13","Bangladesh",6,8,2.792111,78,45
"14","Barbados",7,7,8.441813,146,86
"15","Belarus",2,13,3.634271,94,59
"16","Belgium",4,11,1.764318,57,34
"17","Belize",4,11,45.09472,197,120
"18","Benin",6,8,6.32845,120,72
"19","Bhutan",4,11,2.470447,69,41
"20","Bolivia",0,15,12.09497,168,107
"21","Bosnia and Herzegovina",7,7,1.219298,37,20
"22","Botswana",5,10,15.38586,175,108
"23","Brazil",2,13,26.54254,186,116
"24","Brunei Darussalam",4,11,0.4735111,5,3
"25","Bulgaria",9,4,1.500183,48,25
"26","Burkina Faso",6,8,0.7205289,14,7
"27","Burundi",2,13,4.194306,101,62
"28","Cabo Verde",2,13,10.64076,162,100
"29","Cambodia",11,2,1.837102,60,31
"30","Cameroon",6,8,2.770201,76,44
"31","Canada",9,4,1.439368,45,22
"32","Caribbean small states",5.461538,9,34.14234,192,118
"33","Central African Republic",6,8,13.64892,173,105
"34","Chad",6,8,9.413453,154,92
"35","Chile",4,11,3.141414,83,52
"36","China",4,11,0.8211078,20,12
"37","Colombia",12,1,31.84154,189,111
"38","Comoros",6,8,8.013106,139,82
"39","Democratic Republic of Congo",6,8,13.47591,172,104
"40","Republic of Congo",6,8,10.54171,161,97
"41","Costa Rica",10,3,8.385671,144,82
"42","Cote d'Ivoire",6,8,12.43672,170,102
"43","Croatia",5,10,1.07106,32,19
"44","Cyprus",7,7,1.036776,31,17
"45","Czech Republic",7,7,0.9279126,26,14
"46","Denmark",8,6,0.7498858,17,8
"47","Djibouti",1,14,7.020745,127,78
"48","Dominica",6,8,8.404288,145,86
