"","CountryName","SL.UEM.NEET.ZS","rank.neet","SP.DYN.IMRT.IN","rank.imr","country.score"
"1","Afghanistan",17.3627358490566,54,66.3,149,127
"2","Albania",30.54,88,12.5,57,82
"3","Algeria",22.8,74,21.9,84,91
"4","Andorra",17.3627358490566,54,2.1,5,23
"5","Angola",17.3627358490566,54,96,158,136
"6","Antigua and Barbuda",17.3627358490566,54,5.8,27,37
"7","Argentina",18.6,58,11.1,49,52
"8","Armenia",40.9,95,12.6,58,87
"9","Australia",9.84,25,3,12,13
"10","Austria",7.7,18,2.9,11,8
"11","Azerbaijan",17.3627358490566,54,27.9,96,85
"12","Bahamas, The",17.3627358490566,54,9.9,45,47
"13","Bahrain",17.3627358490566,54,5.3,25,36
"14","Bangladesh",40.3,94,30.7,101,120
"15","Barbados",17.3627358490566,54,12,55,54
"16","Belarus",17.3627358490566,54,3.4,16,31
"17","Belgium",12.05,39,3.3,15,19
"18","Belize",27.87,83,14.2,65,83
"19","Benin",20,67,64.2,146,137
"20","Bhutan",17.3627358490566,54,27.2,95,84
"21","Bolivia",17.3627358490566,54,30.6,100,88
"22","Bosnia and Herzegovina",17.3627358490566,54,5.1,24,35
"23","Botswana",17.3627358490566,54,34.8,111,97
"24","Brazil",19.62,65,14.6,67,71
"25","Brunei Darussalam",17.3627358490566,54,8.6,40,44
"26","Bulgaria",20.24,68,9.3,43,56
"27","Burkina Faso",17.3627358490566,54,60.9,144,123
"28","Burundi",17.3627358490566,54,54.1,138,117
"29","Cabo Verde",17.3627358490566,54,20.7,83,76
"30","Cambodia",7.8,19,24.6,92,56
"31","Cameroon",10.79,30,57.1,142,101
"32","Canada",13.29,42,4.3,20,25
"33","Caribbean small states",17.3627358490566,54,16.76787,71,67
"34","Central African Republic",17.3627358490566,54,91.5,157,135
"35","Chad",17.3627358490566,54,85,155,133
"36","Chile",11.79,33,7,32,28
"37","China",17.3627358490566,54,9.2,42,46
"38","Colombia",22.01,72,13.6,64,75
"39","Comoros",17.3627358490566,54,55.1,140,119
"40","Congo, Dem. Rep.",17.3627358490566,54,74.5,154,132
"41","Congo, Rep.",17.3627358490566,54,33.2,105,92
"42","Costa Rica",17.81,56,8.5,39,45
"43","Cote d'Ivoire",17.3627358490566,54,66.6,150,128
"44","Croatia",19.33,63,3.6,18,37
"45","Cuba",17.3627358490566,54,4,19,32
"46","Cyprus",17.01,52,2.5,8,24
"47","Czech Republic",8.11,20,2.8,10,9
"48","Denmark",5.78,11,2.9,11,5
"49","Djibouti",17.3627358490566,54,54.2,139,118
"50","Dominica",17.3627358490566,54,19.6,80,73
"51","Dominican Republic",21.29,71,25.7,93,96
"52","Ecuador",3.8,5,18.4,76,37
"53","Egypt, Arab Rep.",27.86,82,20.3,82,96
"54","El Salvador",5.67,10,14.4,66,34
"55","Equatorial Guinea",17.3627358490566,54,68.2,151,129
"56","Eritrea",17.3627358490566,54,34.1,109,95
"57","Estonia",11.66,32,2.3,6,14
"58","Ethiopia",1.12,2,41.4,121,65
"59","Fiji",17.3627358490566,54,19.1,79,72
"60","Finland",10.17,28,1.9,3,10
"61","France",10.66,29,3.5,17,17
"62","Gabon",17.3627358490566,54,36.1,115,100
"63","Gambia, The",17.3627358490566,54,47.9,133,114
"64","Georgia",17.3627358490566,54,10.6,47,48
"65","Germany",6.36,15,3.1,13,7
"66","Ghana",17.3627358490566,54,42.8,123,105
"67","Greece",19.15,61,3.6,18,36
"68","Grenada",17.3627358490566,54,10.8,48,49
