"","CountryName","Ethnic Diversity Rank"
"1","Papua New Guinea",1
"2","Tanzania",2
"3","Democratic Republic of Congo",3
"4","Uganda",4
"5","Liberia",5
"6","Cameroon",6
"7","Togo",7
"8","South Africa",8
"9","Congo",9
"10","Madagascar",10
"11","Gabon",11
"12","Kenya",12
"13","Ghana",13
"14","Malawi",14
"15","Guinea-Bissau",15
"16","Somalia",16
"17","India",17
"18","Nigeria",18
"19","Yugoslavia (1943–1992)",19
"20","Central African Republic",20
"21","Ivory Coast",21
"22","Lebanon",22
"23","Chad",23
"24","Indonesia",24
"25","Mozambique",25
"26","Gambia",26
"27","Sierra Leone",27
"28","Ethiopia",28
"29","Angola",29
"30","Mali",30
"31","Afghanistan",31
"32","Bolivia",32
"33","United Arab Emirates",33
"34","Senegal",34
"35","Zambia",35
"36","Namibia",36
"37","USSR (1922–1991)",37
"38","Sudan (1955–2011)",38
"39","Kuwait",39
"40","Burkina Faso",40
"41","Bosnia and Herzegovina",41
"42","Kyrgyzstan",42
"43","Nepal",43
"44","Iran",44
"45","Guinea",45
"46","Kazakhstan",46
"47","Colombia",47
"48","Ecuador",48
"49","Eritrea",49
"50","Trinidad and Tobago",50
"51","Peru",51
"52","Niger",52
"53","Mauritius",53
"54","Mauritania",54
"55","Benin",55
"56","Guyana",56
"57","Djibouti",57
"58","Bhutan",58
"59","Malaysia",59
"60","Canada",60
"61","Latvia",61
"62","Syria",62
"63","Switzerland",63
"64","Kingdom of Yugoslavia (1918–1943)",64
"65","Belgium",65
"66","Fiji",66
"67","Saudi Arabia",67
"68","Bahrain",68
"69","Iraq",69
"70","Brazil",70
"71","Mexico",71
"72","Macedonia",72
"73","Pakistan",73
"74","Tunisia",74
"75","Burma",75
"76","Tajikistan",76
"77","Estonia",77
"78","Moldova",78
"79","Jordan",79
"80","Panama",80
"81","Czechoslovakia (1918–1992)",81
"82","Spain",82
"83","Chile",83
"84","Guatemala",84
"85","United States",85
"86","Georgia",86
"87","Uzbekistan",87
"88","Venezuela",88
"89","Laos",89
"90","Morocco",90
"91","Oman",91
"92","Thailand",92
"93","Sri Lanka",93
"94","Ukraine",94
"95","Nicaragua",95
"96","Turkmenistan",96
"97","Singapore",97
"98","Dominican Republic",98
"99","Croatia",99
"100","Belarus",100
"101","Zimbabwe",101
"102","New Zealand",102
"103","Cyprus",103
"104","Botswana",104
"105","Lithuania",105
"106","Russia",106
"107","Slovakia",107
"108","Burundi",108
"109","United Kingdom",109
"110","Czech Republic",110
"111","Algeria",111
"112","Romania",112
"113","Turkey",113
"114","Bulgaria",114
"115","Swaziland",115
"116","Taiwan",116
"117","France",117
"118","Mongolia",118
"119","Lesotho",119
"120","Argentina",120
"121","Costa Rica",121
"122","Vietnam",122
"123","Slovenia",123
"124","Bangladesh",124
"125","Uruguay",125
"126","Cuba",126
"127","El Salvador",127
"128","Sweden",128
"129","Azerbaijan",129
"130","Hungary",130
"131","Cambodia",131
"132","Honduras",132
"133","Rwanda",133
"134","Ireland",134
"135","Jamaica",135
"136","Egypt",136
"137","Philippines",137
"138","China",138
"139","Libya",139
"140","Australia",140
"141","Armenia",141
"142","Finland",142
"143","Paraguay",143
"144","Denmark",144
"145","Austria",145
"146","Norway",146
"147","Albania",147
"148","Germany",148
"149","Haiti",149
"150","Yemen",150
"151","Netherlands",151
"152","Greece",152
"153","Poland",153
"154","Portugal",154
"155","Italy",155
"156","Israel",156
"157","Japan",157
"158","South Korea",158
"159","North Korea",159
