"","CountryName","finalrank_hpi2"
"1","Afghanistan",40
"2","Albania",23
"3","Algeria",22
"4","Argentina",14
"5","Armenia",37
"6","Australia",6
"7","Austria",5
"8","Bangladesh",31
"9","Belarus",21
"10","Belgium",9
"11","Belize",17
"12","Benin",43
"13","Bhutan",22
"14","Bolivia",19
"15","Bosnia and Herzegovina",32
"16","Botswana",31
"17","Brazil",12
"18","Bulgaria",37
"19","Burkina Faso",38
"20","Burundi",42
"21","Cambodia",39
"22","Cameroon",37
"23","Canada",5
"24","Chad",37
"25","Chile",13
"26","China",28
"27","Colombia",17
"28","Comoros",37
"29","Costa Rica",7
"30","Cote d'Ivoire",39
"31","Croatia",19
"32","Cyprus",17
"33","Czech Republic",15
"34","Denmark",4
"35","Djibouti",36
"36","Dominican Republic",33
"37","Ecuador",19
"38","Egypt",37
"39","El Salvador",21
"40","Estonia",24
"41","Ethiopia",32
"42","Finland",4
"43","France",12
"44","Gabon",39
"45","Georgia",36
"46","Germany",11
"47","Ghana",28
"48","Greece",29
"49","Guatemala",22
"50","Guinea",41
"51","Haiti",34
"52","Honduras",35
"53","Hong Kong",23
"54","Hungary",32
"55","Iceland",3
"56","India",32
"57","Indonesia",23
"58","Iran",34
"59","Iraq",31
"60","Ireland",8
"61","Israel",7
"62","Italy",21
"63","Jamaica",24
"64","Japan",18
"65","Kazakhstan",20
"66","Kenya",33
"67","Kyrgyzstan",25
"68","Latvia",27
"69","Lebanon",34
"70","Lesotho",31
"71","Liberia",33
"72","Lithuania",20
"73","Luxembourg",8
"74","Macedonia",33
"75","Malawi",39
"76","Malaysia",17
"77","Malta",19
"78","Mauritania",29
"79","Mauritius",23
"80","Mexico",7
"81","Mongolia",28
"82","Montenegro",28
"83","Morocco",29
"84","Mozambique",29
"85","Myanmar",34
"86","Namibia",30
"87","Nepal",36
"88","Netherlands",2
"89","New Zealand",6
"90","Nicaragua",26
"91","Niger",39
"92","Nigeria",22
"93","Norway",3
"94","Oman",11
"95","Pakistan",28
"96","Palestine",33
"97","Panama",12
"98","Paraguay",19
"99","Peru",21
"100","Philippines",30
"101","Poland",19
"102","Portugal",31
"103","Republic of Congo",40
"104","Romania",28
"105","Russia",22
"106","Rwanda",42
"107","Senegal",41
"108","Serbia",28
"109","Sierra Leone",34
"110","Slovakia",20
"111","Slovenia",17
"112","South Africa",28
"113","South Korea",19
"114","Spain",15
"115","Sri Lanka",36
"116","Suriname",15
"117","Swaziland",30
"118","Sweden",3
"119","Switzerland",1
"120","Syria",44
"121","Tajikistan",31
"122","Tanzania",38
"123","Thailand",14
"124","Togo",45
"125","Trinidad and Tobago",14
"126","Tunisia",34
"127","Turkey",25
"128","Turkmenistan",23
"129","Uganda",35
"130","Ukraine",28
"131","United Kingdom",9
"132","United States of America",10
"133","Uruguay",16
"134","Uzbekistan",18
"135","Vanuatu",15
"136","Venezuela",10
"137","Vietnam",22
"138","Yemen",38
"139","Zambia",29
"140","Zimbabwe",28
