"","CountryName","Year","ST.INT.DPRT","SP.POP.TOTL"
"1","Albania",2013,3928000,2897366
"2","Argentina",2013,7544000,42538304
"3","Armenia",2013,1083000,2992192
"4","Australia",2013,8768000,23125868
"5","Austria",2013,10671000,8479375
"6","Azerbaijan",2013,4285000,9416801
"7","Belarus",2013,708000,9466000
"8","Belgium",2013,10818000,11182817
"9","Bolivia",2013,837000,10399931
"10","Brazil",2013,8666000,204259377
"11","Bulgaria",2013,3930000,7265115
"12","Cambodia",2013,872000,15078564
"13","Canada",2013,32977000,35158304
"14","Chad",2013,86000,13145788
"15","Chile",2013,2999000,17575833
"16","China",2013,98185000,1357380000
"17","Colombia",2013,3605000,47342363
"18","Congo, Rep.",2013,180000,4394334
"19","Costa Rica",2013,790000,4706433
"20","Croatia",2013,2927000,4255689
"21","Cuba",2013,287000,11362505
"22","Czech Republic",2013,5304000,10514272
"23","Denmark",2013,6977000,5614932
"24","Dominican Republic",2013,436000,10281408
"25","Ecuador",2013,1138000,15661312
"26","Egypt, Arab Rep.",2013,5782000,87613909
"27","Estonia",2013,1166000,1317997
"28","Finland",2013,8562000,5438972
"29","France",2013,26243000,65925498
"30","French Polynesia",2013,80000,276766
"31","Georgia",2013,3220000,4487200
"32","Greece",2013,4594000,11027549
"33","Guatemala",2013,1171000,15690793
"34","Honduras",2013,471000,7849059
"35","Hong Kong SAR, China",2013,84414000,7187500
"36","Hungary",2013,15997000,9893082
"37","Iceland",2013,365000,323764
"38","India",2013,16626000,1279498874
"39","Indonesia",2013,7973000,251268276
"40","Ireland",2013,6579000,4598294
"41","Israel",2013,4757000,8059500
"42","Italy",2013,27798000,60233948
"43","Japan",2013,17473000,127338621
"44","Jordan",2013,1498000,6460000
"45","Kazakhstan",2013,10144000,17035275
"46","Korea, Rep.",2013,14846000,50219669
"47","Kyrgyz Republic",2013,1401000,5719600
"48","Lithuania",2013,1764000,2957689
"49","Macao SAR, China",2013,1446000,568056
"50","Malta",2013,363000,423374
"51","Mauritius",2013,250000,1258653
"52","Mexico",2013,15911000,123740109
"53","Middle income",2013,341396191,5178449842
"54","Moldova",2013,157000,3558566
"55","Morocco",2013,2194000,33452686
"56","Nepal",2013,983000,27834981
"57","Netherlands",2013,18094000,16804432
"58","New Caledonia",2013,121000,262000
"59","New Zealand",2013,2193000,4442100
"60","Nicaragua",2013,994000,5945646
"61","Oman",2013,3153000,3906912
"62","Panama",2013,619000,3805683
"63","Paraguay",2013,440000,6465669
"64","Peru",2013,2364000,30565461
"65","Poland",2013,10050000,38040196
"66","Puerto Rico",2013,839000,3595839
"67","Romania",2013,11364000,19983693
"68","Russian Federation",2013,54069000,143506911
"69","Samoa",2013,51000,190390
"70","Saudi Arabia",2013,19154000,30201051
"71","Singapore",2013,8647000,5399200
"72","Slovak Republic",2013,2129000,5413393
"73","Slovenia",2013,2612000,2059953
"74","South Africa",2013,5168000,53157490
"75","South Asia",2013,25646557,1697997032
"76","Spain",2013,11246000,46620045
"77","Sri Lanka",2013,1262000,20483000
"78","Swaziland",2013,1573000,1250641
"79","Sweden",2013,15917000,9600379
"80","Switzerland",2013,12403000,8089346
"81","Tajikistan",2013,15000,8111894
"82","Thailand",2013,5970000,67451422
"83","Turkey",2013,7526000,75010202
"84","Uganda",2013,378000,36573387
"85","Ukraine",2013,23761000,45489600
"86","United Kingdom",2013,58510000,64106779
"87","United States",2013,61569000,316497531
"88","Uruguay",2013,2281000,3407969
"89","Vanuatu",2013,26000,253165
"90","Venezuela, RB",2013,1931000,30276045
"91","Algeria",2012,1911000,37439427
"92","Fiji",2012,132000,874158
"93","Seychelles",2012,54000,88303
"94","Sierra Leone",2012,104000,6043157
"95","Cyprus",2011,1026000,1116644
"96","Latvia",2011,3257000,2059709
"97","Tunisia",2011,2303000,10673800
"98","Tuvalu",2011,2100,9844
"99","Zimbabwe",2011,693000,14255592
"100","Central African Republic",2010,38000,4444973
"101","Syrian Arab Republic",2010,6259000,20720602
"102","Trinidad and Tobago",2010,273000,1328095
"103","Uzbekistan",2010,1610000,28562400
