"","CountryName","CountryCode","Year","EN.ATM.CO2E.PC","EN.ATM.GHGO.KT.CE","EN.ATM.METH.KT.CE"
"1","Afghanistan","AFG",2010,0.3029364,NA,NA
"2","Afghanistan","AFG",2011,0.4252621,NA,NA
"3","Albania","ALB",2010,1.515632,105,2592.7
"4","Albania","ALB",2011,1.607038,NA,NA
"5","Algeria","DZA",2010,3.309912,701,47661.8
"6","Algeria","DZA",2011,3.316038,NA,NA
"7","Andorra","ADO",2010,6.12477,NA,NA
"8","Andorra","ADO",2011,5.968685,NA,NA
"9","Angola","AGO",2010,1.401654,31,18596.5
"10","Angola","AGO",2011,1.354008,NA,NA
"11","Antigua and Barbuda","ATG",2010,6.011269,NA,NA
"12","Antigua and Barbuda","ATG",2011,5.823804,NA,NA
"13","Arab World","ARB",2010,4.764912,11687,437574
"14","Arab World","ARB",2011,4.7245,NA,NA
"15","Argentina","ARG",2010,4.342272,1084,86733.7
"16","Argentina","ARG",2011,4.562049,NA,NA
"17","Armenia","ARM",2010,1.422998,565,3328.7
"18","Armenia","ARM",2011,1.671657,NA,NA
"19","Aruba","ABW",2010,24.1827,NA,NA
"20","Aruba","ABW",2011,23.92241,NA,NA
"21","Australia","AUS",2010,16.7109,9051,122548.9
"22","Australia","AUS",2011,16.51921,NA,NA
"23","Austria","AUT",2010,8.127693,3254,8391.4
"24","Austria","AUT",2011,7.769983,NA,NA
"25","Azerbaijan","AZE",2010,3.388226,283,18400.5
"26","Azerbaijan","AZE",2011,3.647379,NA,NA
"27","Bahamas, The","BHS",2010,6.829321,NA,NA
"28","Bahamas, The","BHS",2011,5.199844,NA,NA
"29","Bahrain","BHR",2010,18.43502,320,3312.3
"30","Bahrain","BHR",2011,17.94733,NA,NA
"31","Bangladesh","BGD",2010,0.3703599,0,103079.7
"32","Bangladesh","BGD",2011,0.3720172,NA,NA
"33","Barbados","BRB",2010,5.430338,NA,NA
"34","Barbados","BRB",2011,5.580178,NA,NA
"35","Belarus","BLR",2010,6.55655,539,16436.1
"36","Belarus","BLR",2011,6.68251,NA,NA
"37","Belgium","BEL",2010,9.989976,2776,9632.5
"38","Belgium","BEL",2011,8.849398,NA,NA
"39","Belize","BLZ",2010,1.721709,NA,NA
"40","Belize","BLZ",2011,1.670904,NA,NA
"41","Benin","BEN",2010,0.5417712,0,6845.6
"42","Benin","BEN",2011,0.5099622,NA,NA
"43","Bermuda","BMU",2010,7.320036,NA,NA
"44","Bermuda","BMU",2011,6.07721,NA,NA
"45","Bhutan","BTN",2010,0.677145,NA,NA
"46","Bhutan","BTN",2011,0.7662056,NA,NA
"47","Bolivia","BOL",2010,1.547659,0,22777.6
"48","Bolivia","BOL",2011,1.599499,NA,NA
"49","Bosnia and Herzegovina","BIH",2010,5.513994,885,3071.4
"50","Bosnia and Herzegovina","BIH",2011,6.196652,NA,NA
"51","Botswana","BWA",2010,2.555293,0,4361
"52","Botswana","BWA",2011,2.323345,NA,NA
"53","Brazil","BRA",2010,2.113415,10621,443288.9
"54","Brazil","BRA",2011,2.191394,NA,NA
"55","Brunei Darussalam","BRN",2010,21.87322,427,4450.4
"56","Brunei Darussalam","BRN",2011,24.39201,NA,NA
"57","Bulgaria","BGR",2010,5.966884,666,12010.6
"58","Bulgaria","BGR",2011,6.714383,NA,NA
"59","Burkina Faso","BFA",2010,0.1076731,NA,NA
"60","Burkina Faso","BFA",2011,0.1199806,NA,NA
"61","Burundi","BDI",2010,0.02054208,NA,NA
"62","Burundi","BDI",2011,0.02134993,NA,NA
"63","Cabo Verde","CPV",2010,0.5982312,NA,NA
"64","Cabo Verde","CPV",2011,0.8590614,NA,NA
"65","Cambodia","KHM",2010,0.2915507,0,35210.8
"66","Cambodia","KHM",2011,0.3080732,NA,NA
"67","Cameroon","CMR",2010,0.3257273,353,18153.2
"68","Cameroon","CMR",2011,0.2680918,NA,NA
"69","Canada","CAN",2010,14.58905,29836,104499.8
"70","Canada","CAN",2011,14.13581,NA,NA
"71","Caribbean small states","CSS",2010,10.0045,NA,15789.7
"72","Caribbean small states","CSS",2011,9.69296,NA,NA
"73","Cayman Islands","CYM",2010,10.17345,NA,NA
"74","Cayman Islands","CYM",2011,10.30493,NA,NA
"75","Central African Republic","CAF",2010,0.05939834,NA,NA
"76","Central African Republic","CAF",2011,0.06312781,NA,NA
"77","Central Europe and the Baltics","CEB",2010,6.83972,14639,145456.5
"78","Central Europe and the Baltics","CEB",2011,6.911131,NA,NA
"79","Chad","TCD",2010,0.04346255,NA,NA
"80","Chad","TCD",2011,0.04383042,NA,NA
"81","Chile","CHL",2010,4.246725,8,18001.3
"82","Chile","CHL",2011,4.616445,NA,NA
"83","China","CHN",2010,6.172489,249362,1642258
"84","China","CHN",2011,6.710302,NA,NA
"85","Colombia","COL",2010,1.711391,106,66694.2
"86","Colombia","COL",2011,1.560629,NA,NA
"87","Comoros","COM",2010,0.1889408,NA,NA
"88","Comoros","COM",2011,0.2202335,NA,NA
"89","Congo, Dem. Rep.","ZAR",2010,0.04932806,0,73859
"90","Congo, Dem. Rep.","ZAR",2011,0.05030269,NA,NA
"91","Congo, Rep.","COG",2010,0.4734722,8,7016
"92","Congo, Rep.","COG",2011,0.5380984,NA,NA
"93","Costa Rica","CRI",2010,1.665178,98,2273.7
"94","Costa Rica","CRI",2011,1.704974,NA,NA
"95","Cote d'Ivoire","CIV",2010,0.2923515,0,15946.8
"96","Cote d'Ivoire","CIV",2011,0.3128777,NA,NA
"97","Croatia","HRV",2010,4.728822,89,5036
"98","Croatia","HRV",2011,4.80153,NA,NA
"99","Cuba","CUB",2010,3.392292,226,8392.1
"100","Cuba","CUB",2011,3.172315,NA,NA
"101","Cyprus","CYP",2010,6.983908,304,621.4
"102","Cyprus","CYP",2011,6.735376,NA,NA
"103","Czech Republic","CZE",2010,10.61337,3658,12033.4
"104","Czech Republic","CZE",2011,10.43109,NA,NA
"105","Denmark","DNK",2010,8.394658,1750,7762.9
"106","Denmark","DNK",2011,7.248329,NA,NA
"107","Djibouti","DJI",2010,0.6223468,NA,NA
"108","Djibouti","DJI",2011,0.5619409,NA,NA
"109","Dominica","DMA",2010,1.906488,NA,NA
"110","Dominica","DMA",2011,1.746142,NA,NA
"111","Dominican Republic","DOM",2010,2.158414,0,6729.1
"112","Dominican Republic","DOM",2011,2.182908,NA,NA
"113","East Asia & Pacific (all income levels)","EAS",2010,5.453789,NA,2547354
"114","East Asia & Pacific (all income levels)","EAS",2011,5.859548,NA,NA
"115","East Asia & Pacific (developing only)","EAP",2010,4.867541,NA,2305670
"116","East Asia & Pacific (developing only)","EAP",2011,5.302499,NA,NA
"117","Ecuador","ECU",2010,2.293303,104,15476.9
