"","CountryName","CountryCode","Year","AG.LND.FRST.ZS","EN.FSH.THRD.NO","EN.HPT.THRD.NO","EN.MAM.THRD.NO"
"1","Afghanistan","AFG",2010,2.067825,NA,NA,NA
"2","Afghanistan","AFG",2011,2.067825,NA,NA,NA
"3","Afghanistan","AFG",2012,2.067825,NA,NA,NA
"4","Afghanistan","AFG",2013,2.067825,NA,NA,NA
"5","Afghanistan","AFG",2015,NA,5,5,10
"6","Albania","ALB",2010,28.33212,NA,NA,NA
"7","Albania","ALB",2011,28.29708,NA,NA,NA
"8","Albania","ALB",2012,28.26204,NA,NA,NA
"9","Albania","ALB",2013,28.22701,NA,NA,NA
"10","Albania","ALB",2015,NA,44,0,3
"11","Algeria","DZA",2010,0.8052936,NA,NA,NA
"12","Algeria","DZA",2011,0.8084846,NA,NA,NA
"13","Algeria","DZA",2012,0.8116755,NA,NA,NA
"14","Algeria","DZA",2013,0.8148664,NA,NA,NA
"15","Algeria","DZA",2015,NA,40,18,13
"16","American Samoa","ASM",2010,88.55,NA,NA,NA
"17","American Samoa","ASM",2011,88.4,NA,NA,NA
"18","American Samoa","ASM",2012,88.2,NA,NA,NA
"19","American Samoa","ASM",2013,88.05,NA,NA,NA
"20","American Samoa","ASM",2015,NA,11,1,1
"21","Andorra","ADO",2010,34.04255,NA,NA,NA
"22","Andorra","ADO",2011,34.04255,NA,NA,NA
"23","Andorra","ADO",2012,34.04255,NA,NA,NA
"24","Andorra","ADO",2013,34.04255,NA,NA,NA
"25","Andorra","ADO",2015,NA,0,0,2
"26","Angola","AGO",2010,46.90784,NA,NA,NA
"27","Angola","AGO",2011,46.80773,NA,NA,NA
"28","Angola","AGO",2012,46.70763,NA,NA,NA
"29","Angola","AGO",2013,46.60752,NA,NA,NA
"30","Angola","AGO",2015,NA,50,34,17
"31","Antigua and Barbuda","ATG",2010,22.27273,NA,NA,NA
"32","Antigua and Barbuda","ATG",2011,22.27273,NA,NA,NA
"33","Antigua and Barbuda","ATG",2012,22.27273,NA,NA,NA
"34","Antigua and Barbuda","ATG",2013,22.27273,NA,NA,NA
"35","Antigua and Barbuda","ATG",2015,NA,29,4,2
"36","Arab World","ARB",2010,3.417508,NA,NA,NA
"37","Arab World","ARB",2011,2.874204,NA,NA,NA
"38","Arab World","ARB",2012,2.856322,NA,NA,NA
"39","Arab World","ARB",2013,2.838442,NA,NA,NA
"40","Arab World","ARB",2015,NA,572,318,217
"41","Argentina","ARG",2010,10.44912,NA,NA,NA
"42","Argentina","ARG",2011,10.34067,NA,NA,NA
"43","Argentina","ARG",2012,10.23221,NA,NA,NA
"44","Argentina","ARG",2013,10.12376,NA,NA,NA
"45","Argentina","ARG",2015,NA,39,70,40
"46","Armenia","ARM",2010,11.62627,NA,NA,NA
"47","Armenia","ARM",2011,11.6333,NA,NA,NA
"48","Armenia","ARM",2012,11.64032,NA,NA,NA
"49","Armenia","ARM",2013,11.64735,NA,NA,NA
"50","Armenia","ARM",2015,NA,3,71,8
"51","Aruba","ABW",2010,2.333333,NA,NA,NA
"52","Aruba","ABW",2011,2.333333,NA,NA,NA
"53","Aruba","ABW",2012,2.333333,NA,NA,NA
"54","Aruba","ABW",2013,2.333333,NA,NA,NA
"55","Aruba","ABW",2015,NA,23,2,2
"56","Australia","AUS",2010,16.0383,NA,NA,NA
"57","Australia","AUS",2011,16.07839,NA,NA,NA
"58","Australia","AUS",2012,16.11848,NA,NA,NA
"59","Australia","AUS",2013,16.15857,NA,NA,NA
"60","Australia","AUS",2015,NA,111,92,56
"61","Austria","AUT",2010,46.75331,NA,NA,NA
"62","Austria","AUT",2011,46.77908,NA,NA,NA
"63","Austria","AUT",2012,46.80882,NA,NA,NA
"64","Austria","AUT",2013,46.83573,NA,NA,NA
"65","Austria","AUT",2015,NA,11,21,3
"66","Azerbaijan","AZE",2010,12.19875,NA,NA,NA
"67","Azerbaijan","AZE",2011,12.51567,NA,NA,NA
"68","Azerbaijan","AZE",2012,12.83288,NA,NA,NA
"69","Azerbaijan","AZE",2013,13.14993,NA,NA,NA
"70","Azerbaijan","AZE",2015,NA,12,42,6
"71","Bahamas, The","BHS",2010,51.44855,NA,NA,NA
"72","Bahamas, The","BHS",2011,51.44855,NA,NA,NA
