"","CountryName","CountryCode","Year","MS.MIL.XPND.GD.ZS","NY.GDP.MKTP.PP.CD","NY.GDP.PCAP.CD","NY.GDP.PCAP.KD.ZG"
"1","Afghanistan","AFG",2010,1.897473,45555113006,569.9407,5.505838
"2","Afghanistan","AFG",2011,1.778593,49338254431,622.3797,2.994052
"3","Afghanistan","AFG",2012,1.144715,57473689811,690.8426,10.90226
"4","Afghanistan","AFG",2013,1.061434,59472836680,666.7951,-1.216695
"5","Afghanistan","AFG",2014,1.334357,61132547123,633.5692,-1.714611
"6","Albania","ALB",2010,1.593118,27083782564,4094.359,4.226161
"7","Albania","ALB",2011,1.527305,28002459179,4437.812,2.840939
"8","Albania","ALB",2012,1.49385,27981946252,4247.485,1.570041
"9","Albania","ALB",2013,1.398847,28456981503,4411.258,1.218984
"10","Albania","ALB",2014,1.021248,29826669574,4564.39,2.272047
"11","Algeria","DZA",2010,3.518023,455845601075,4473.486,1.776425
"12","Algeria","DZA",2011,4.325836,478284398685,5447.404,0.8934413
"13","Algeria","DZA",2012,4.461327,502937371131,5583.616,1.30709
"14","Algeria","DZA",2013,4.961964,524723488340,5491.614,0.7898049
"15","Algeria","DZA",2014,5.55606,552609735401,5484.067,1.805281
"16","Andorra","ADO",2010,NA,NA,39639.39,-4.165093
"17","Andorra","ADO",2011,NA,NA,41630.05,-2.382443
"18","Andorra","ADO",2012,NA,NA,39666.37,1.968145
"19","Andorra","ADO",2013,NA,NA,42806.52,4.431534
"20","Angola","AGO",2010,4.199133,NA,3928.825,NA
"21","Angola","AGO",2011,3.282059,152477494308,5053.739,NA
"22","Angola","AGO",2012,3.304339,NA,5531.776,NA
"23","Angola","AGO",2013,4.399986,NA,5900.53,NA
"24","Antigua and Barbuda","ATG",2010,NA,1757859214,13017.31,-8.136143
"25","Antigua and Barbuda","ATG",2011,NA,1761975489,12817.84,-2.817256
"26","Antigua and Barbuda","ATG",2012,NA,1865701697,13525.62,2.94862
"27","Antigua and Barbuda","ATG",2013,NA,1886945200,13342.08,-1.360684
"28","Antigua and Barbuda","ATG",2014,NA,2006791859,13432.08,3.766844
"29","Argentina","ARG",2010,0.7477786,NA,11198.64,8.325187
"30","Argentina","ARG",2011,0.720326,NA,13392.92,7.260475
"31","Argentina","ARG",2012,0.7485965,NA,14357.41,-0.2509307
"32","Argentina","ARG",2013,0.8234826,NA,14443.07,1.813696
"33","Argentina","ARG",2014,0.7931637,NA,12509.53,-0.5787943
"34","Armenia","ARM",2010,4.265646,18896045357,3124.784,2.290078
"35","Armenia","ARM",2011,3.853947,20192628680,3417.172,4.541679
"36","Armenia","ARM",2012,3.583767,22035101326,3565.518,6.82729
"37","Armenia","ARM",2013,3.997245,23101429601,3716.829,2.82175
"38","Armenia","ARM",2014,4.00772,24258831576,3873.534,3.019297
"39","Aruba","ABW",2010,NA,NA,24289.14,NA
"40","Aruba","ABW",2011,NA,3671232222,25353.79,NA
"41","Australia","AUS",2010,1.951809,861853267945,51845.65,0.4435781
"42","Australia","AUS",2011,1.828989,932989069867,62216.55,0.9668074
"43","Australia","AUS",2012,1.698137,9.79558e+11,67646.1,1.86253
"44","Australia","AUS",2013,1.686912,1.0015e+12,67627.77,0.6787488
"45","Australia","AUS",2014,1.780064,1.031945e+12,61925.5,0.9077804
"46","Austria","AUT",2010,0.8247703,350124302728,46659.84,1.683937
"47","Austria","AUT",2011,0.7947373,369420225149,51123.56,2.462037
"48","Austria","AUT",2012,0.7823859,378088354544,48324.25,0.2989697
"49","Austria","AUT",2013,0.753225,382598897036,50557.8,-0.2630216
"50","Austria","AUT",2014,0.7454094,394485478834,51190.81,-0.2946264
"51","Azerbaijan","AZE",2010,2.791004,141497529647,5842.806,3.614187
"52","Azerbaijan","AZE",2011,4.670136,144514131463,7189.691,-1.229479
"53","Azerbaijan","AZE",2012,4.723215,150344872492,7393.772,0.850986
"54","Azerbaijan","AZE",2013,4.679751,1.6143e+11,7811.621,4.437066
"55","Azerbaijan","AZE",2014,4.763487,1.67061e+11,7884.19,0.7057587
"56","Bahamas, The","BHS",2010,NA,8093827393,21920.52,-0.1637115
"57","Bahamas, The","BHS",2011,NA,8311566260,21514.9,-1.000642
"58","Bahamas, The","BHS",2012,NA,8648379510,22112.61,0.6590252
"59","Bahamas, The","BHS",2013,NA,8779178667,22315.6,-1.421487
"60","Bahamas, The","BHS",2014,NA,8998371152,22217.49,-0.3520378
"61","Bahrain","BHR",2010,3.277366,49725800420,20386.02,-1.004658
"62","Bahrain","BHR",2011,3.558029,51818347905,22238.71,-1.393934
"63","Bahrain","BHR",2012,3.84351,54641595493,23063.13,1.447684
"64","Bahrain","BHR",2013,4.096366,58457572079,24378.94,4.174787
"65","Bahrain","BHR",2014,4.234601,61968145298,24855.22,3.521763
"66","Bangladesh","BGD",2010,1.233545,364140854586,760.3319,4.380462
"67","Bangladesh","BGD",2011,1.277477,395684471605,838.5478,5.222922
"68","Bangladesh","BGD",2012,1.241419,429055450182,858.9334,5.25094
"69","Bangladesh","BGD",2013,1.184521,461634727857,954.3964,4.731909
"70","Bangladesh","BGD",2014,1.160973,496758428047,1086.807,4.7809
"71","Barbados","BRB",2010,NA,4203655727,15901.43,-0.1205724
"72","Barbados","BRB",2011,NA,4321705635,15530.89,0.3567012
"73","Barbados","BRB",2012,NA,4411222957,15317.14,-0.07702018
"74","Barbados","BRB",2013,NA,4476952555,15153.82,-0.3267222
"75","Barbados","BRB",2014,NA,4550463947,15366.29,-0.1296939
"76","Belarus","BLR",2010,1.390232,1.46008e+11,5818.855,7.933784
"77","Belarus","BLR",2011,1.266062,157283909017,6305.774,5.733117
"78","Belarus","BLR",2012,1.198102,162879596713,6721.835,1.828135
"79","Belarus","BLR",2013,1.320576,167081323326,7722.123,1.052246
"80","Belarus","BLR",2014,1.285751,172210703775,8040.048,1.544892
"81","Belgium","BEL",2010,1.084631,427442156148,44282.55,1.530801
"82","Belgium","BEL",2011,1.043508,451396735850,47699.81,0.6222771
"83","Belgium","BEL",2012,1.038411,459785570514,44731.22,-0.573237
"84","Belgium","BEL",2013,1.003058,461908072179,46625.32,-0.4715157
"85","Belgium","BEL",2014,0.9762806,477949404357,47352.94,0.9656369
"86","Belize","BLZ",2010,1.097799,2482000905,4344.137,0.8552194
"87","Belize","BLZ",2011,1.036748,2586543205,4517.124,-0.248336
"88","Belize","BLZ",2012,0.9625017,2733682254,4674.293,1.507781
"89","Belize","BLZ",2013,1.026477,2816744165,4719.138,-0.6824498
"90","Belize","BLZ",2014,1.036015,2960246535,4831.178,1.37061
"91","Benin","BEN",2010,NA,16392960558,732.9536,-0.7697141
"92","Benin","BEN",2011,NA,17227124155,799.0356,0.1243285
"93","Benin","BEN",2012,0.9636824,18350608451,807.6885,1.827484
"94","Benin","BEN",2013,0.9439693,19905189529,882.6386,4.058083
"95","Benin","BEN",2014,0.9711461,21516703864,903.4649,3.764477
"96","Bermuda","BMU",2010,NA,3598375440,88207.33,-1.324385
"97","Bermuda","BMU",2011,NA,3550019929,85973.16,-2.501103
"98","Bermuda","BMU",2012,NA,3439042547,85458.46,-5.178204
"99","Bermuda","BMU",2013,NA,3402639659,85748.07,-2.815615
"100","Bhutan","BTN",2010,NA,4576726814,2201.293,9.804776
"101","Bhutan","BTN",2011,NA,5039821055,2485.787,6.122805
"102","Bhutan","BTN",2012,NA,5390490978,2452.152,3.451931
"103","Bhutan","BTN",2013,NA,5588024160,2383.045,0.663628
"104","Bhutan","BTN",2014,NA,5979045312,2560.501,4.029142
"105","Bolivia","BOL",2010,1.668461,52547684328,1981.16,2.452778
"106","Bolivia","BOL",2011,1.466809,56423688392,2377.701,3.533968
"107","Bolivia","BOL",2012,1.462754,60378682117,2645.29,3.474161
"108","Bolivia","BOL",2013,1.451693,65442841321,2948.033,5.140981
"109","Bolivia","BOL",2014,1.477125,70023357901,3124.081,3.843437
"110","Bosnia and Herzegovina","BIH",2010,1.305366,33636770287,4392.495,0.907083
"111","Bosnia and Herzegovina","BIH",2011,1.156672,35506413036,4779.66,1.035425
"112","Bosnia and Herzegovina","BIH",2012,1.167313,35871851726,4415.924,-1.106531
"113","Bosnia and Herzegovina","BIH",2013,1.107592,36494326028,4666.22,2.610956
"114","Bosnia and Herzegovina","BIH",2014,1.09431,37761176475,4790.05,0.9404566
"115","Botswana","BWA",2010,2.726855,26323157350,6244.003,6.410258
"116","Botswana","BWA",2011,2.357962,28491611417,7504.851,3.923246
"117","Botswana","BWA",2012,2.254121,30404397186,6935.594,2.712324
"118","Botswana","BWA",2013,1.992494,33734031737,6882.258,7.127831
"119","Botswana","BWA",2014,1.92085,35739373872,7123.339,2.378328
"120","Brazil","BRA",2010,1.539016,2.803888e+12,11124.25,6.53601
"121","Brazil","BRA",2011,1.412373,2.973856e+12,13042.42,2.929975
"122","Brazil","BRA",2012,1.408395,3.080598e+12,11922.51,0.8152604
"123","Brazil","BRA",2013,1.377781,3.212283e+12,11711,1.809216
"124","Brazil","BRA",2014,1.344207,3.263867e+12,11384.42,-0.7390131
"125","Brunei Darussalam","BRN",2010,3.158472,27722415765,31453.22,0.9758601
"126","Brunei Darussalam","BRN",2011,2.488536,29265239981,41787.02,1.839698
"127","Brunei Darussalam","BRN",2012,2.425762,30073137641,41807.65,-0.5624652
"128","Brunei Darussalam","BRN",2013,2.557831,29986523446,39151.23,-3.181395
"129","Brunei Darussalam","BRN",2014,3.08572,29712111132,40979.64,-3.719286
"130","Bulgaria","BGR",2010,1.7891,111480277505,6752.552,0.7153652
"131","Bulgaria","BGR",2011,1.455681,114656149139,7750.04,2.233453
"132","Bulgaria","BGR",2012,1.50729,116641261815,7333.355,0.8222955
"133","Bulgaria","BGR",2013,1.617157,116697822700,7656.639,1.8484
"134","Bulgaria","BGR",2014,1.476458,1.2004e+11,7851.265,2.128843
"135","Burkina Faso","BFA",2010,1.382575,21784264435,574.4581,5.212027
