"","CountryName","CountryCode","Year","ST.INT.DPRT"
"1","Albania","ALB",2010,3443000
"2","Albania","ALB",2011,4120000
"3","Albania","ALB",2012,3959000
"4","Albania","ALB",2013,3928000
"5","Algeria","DZA",2010,1757000
"6","Algeria","DZA",2011,1715000
"7","Algeria","DZA",2012,1911000
"8","Argentina","ARG",2010,5307000
"9","Argentina","ARG",2011,6686000
"10","Argentina","ARG",2012,7266000
"11","Argentina","ARG",2013,7544000
"12","Armenia","ARM",2010,563000
"13","Armenia","ARM",2011,715000
"14","Armenia","ARM",2012,965000
"15","Armenia","ARM",2013,1083000
"16","Australia","AUS",2010,7103000
"17","Australia","AUS",2011,7788000
"18","Australia","AUS",2012,8212000
"19","Australia","AUS",2013,8768000
"20","Austria","AUT",2010,9882000
"21","Austria","AUT",2011,9874000
"22","Austria","AUT",2012,10960000
"23","Austria","AUT",2013,10671000
"24","Azerbaijan","AZE",2010,3176000
"25","Azerbaijan","AZE",2011,3550000
"26","Azerbaijan","AZE",2012,3874000
"27","Azerbaijan","AZE",2013,4285000
"28","Belarus","BLR",2010,415000
"29","Belarus","BLR",2011,320000
"30","Belarus","BLR",2012,493000
"31","Belarus","BLR",2013,708000
"32","Belgium","BEL",2010,8801000
"33","Belgium","BEL",2011,9727000
"34","Belgium","BEL",2012,9576000
"35","Belgium","BEL",2013,10818000
"36","Bolivia","BOL",2010,604000
"37","Bolivia","BOL",2011,775000
"38","Bolivia","BOL",2012,788000
"39","Bolivia","BOL",2013,837000
"40","Brazil","BRA",2010,6498000
"41","Brazil","BRA",2011,7805000
"42","Brazil","BRA",2012,8466000
"43","Brazil","BRA",2013,8666000
"44","Bulgaria","BGR",2010,3676000
"45","Bulgaria","BGR",2011,3803000
"46","Bulgaria","BGR",2012,3758000
"47","Bulgaria","BGR",2013,3930000
"48","Cambodia","KHM",2010,505000
"49","Cambodia","KHM",2011,710000
"50","Cambodia","KHM",2012,792000
"51","Cambodia","KHM",2013,872000
"52","Canada","CAN",2010,28680000
"53","Canada","CAN",2011,30450000
"54","Canada","CAN",2012,32276000
"55","Canada","CAN",2013,32977000
"56","Central African Republic","CAF",2010,38000
"57","Chad","TCD",2010,39000
"58","Chad","TCD",2011,76000
"59","Chad","TCD",2012,79000
"60","Chad","TCD",2013,86000
"61","Chile","CHL",2010,2219000
"62","Chile","CHL",2011,2638000
"63","Chile","CHL",2012,2837000
"64","Chile","CHL",2013,2999000
"65","China","CHN",2010,57386000
"66","China","CHN",2011,70250000
"67","China","CHN",2012,83183000
"68","China","CHN",2013,98185000
"69","Colombia","COL",2010,2342000
"70","Colombia","COL",2011,2522000
"71","Colombia","COL",2012,3165000
"72","Colombia","COL",2013,3605000
"73","Congo, Rep.","COG",2012,161000
"74","Congo, Rep.","COG",2013,180000
"75","Costa Rica","CRI",2010,662000
"76","Costa Rica","CRI",2011,717000
"77","Costa Rica","CRI",2012,773000
"78","Costa Rica","CRI",2013,790000
"79","Croatia","HRV",2010,1873000
"80","Croatia","HRV",2011,2280000
"81","Croatia","HRV",2012,2680000
"82","Croatia","HRV",2013,2927000
"83","Cuba","CUB",2010,251000
"84","Cuba","CUB",2011,253000
"85","Cuba","CUB",2012,213000
"86","Cuba","CUB",2013,287000
"87","Cyprus","CYP",2010,1067000
"88","Cyprus","CYP",2011,1026000
"89","Czech Republic","CZE",2010,8673000
"90","Czech Republic","CZE",2011,5279000
"91","Czech Republic","CZE",2012,5419000
"92","Czech Republic","CZE",2013,5304000
"93","Denmark","DNK",2010,7726000
"94","Denmark","DNK",2011,7846000
"95","Denmark","DNK",2012,7843000
"96","Denmark","DNK",2013,6977000
"97","Dominican Republic","DOM",2010,401000
"98","Dominican Republic","DOM",2011,408000
"99","Dominican Republic","DOM",2012,418000
"100","Dominican Republic","DOM",2013,436000
"101","Ecuador","ECU",2010,899000
"102","Ecuador","ECU",2011,1022000
"103","Ecuador","ECU",2012,1022000
"104","Ecuador","ECU",2013,1138000
"105","Egypt, Arab Rep.","EGY",2010,4618000
"106","Egypt, Arab Rep.","EGY",2011,4863000
