"","CountryName","CountryCode","Year","IT.CEL.SETS.P2","IT.NET.USER.P2"
"1","Afghanistan","AFG",2010,45.77817,4
"2","Afghanistan","AFG",2011,60.32632,5
"3","Afghanistan","AFG",2012,65.45219,5.454545
"4","Afghanistan","AFG",2013,70.66136,5.9
"5","Afghanistan","AFG",2014,74.88284,6.39
"6","Albania","ALB",2010,85.46825,45
"7","Albania","ALB",2011,98.29153,49
"8","Albania","ALB",2012,110.6865,54.65596
"9","Albania","ALB",2013,116.1572,57.2
"10","Albania","ALB",2014,105.47,60.1
"11","Algeria","DZA",2010,88.44488,12.5
"12","Algeria","DZA",2011,94.31444,14
"13","Algeria","DZA",2012,97.52089,15.22803
"14","Algeria","DZA",2013,100.7877,16.5
"15","Algeria","DZA",2014,93.31075,18.09
"16","Andorra","ADO",2010,84.06818,81
"17","Andorra","ADO",2011,83.53432,81
"18","Andorra","ADO",2012,81.50204,86.43442
"19","Andorra","ADO",2013,80.70262,94
"20","Andorra","ADO",2014,82.64319,95.9
"21","Angola","AGO",2010,48.10121,10
"22","Angola","AGO",2011,59.82619,14.776
"23","Angola","AGO",2012,61.40628,16.93721
"24","Angola","AGO",2013,61.8733,19.1
"25","Angola","AGO",2014,63.47921,21.26
"26","Antigua and Barbuda","ATG",2010,192.5533,47
"27","Antigua and Barbuda","ATG",2011,199.6642,52
"28","Antigua and Barbuda","ATG",2012,143.0138,58
"29","Antigua and Barbuda","ATG",2013,127.0856,63.4
"30","Antigua and Barbuda","ATG",2014,120.018,64
"31","Argentina","ARG",2010,141.383,45
"32","Argentina","ARG",2011,149.0906,51
"33","Argentina","ARG",2012,156.5648,55.8
"34","Argentina","ARG",2013,162.5274,59.9
"35","Argentina","ARG",2014,158.7358,64.7
"36","Armenia","ARM",2010,130.4322,25
"37","Armenia","ARM",2011,108.3362,32
"38","Armenia","ARM",2012,111.9147,37.5
"39","Armenia","ARM",2013,112.4207,41.9
"40","Armenia","ARM",2014,115.9232,46.3
"41","Aruba","ABW",2010,129.7282,62
"42","Aruba","ABW",2011,NA,69
"43","Aruba","ABW",2012,131.8565,74
"44","Aruba","ABW",2013,134.8738,78.9
"45","Aruba","ABW",2014,135.0659,83.78
"46","Australia","AUS",2010,100.4263,76
"47","Australia","AUS",2011,104.6106,79.4877
"48","Australia","AUS",2012,105.5857,79
"49","Australia","AUS",2013,106.8435,83
"50","Australia","AUS",2014,131.2305,84.56
"51","Austria","AUT",2010,145.6928,75.17
"52","Austria","AUT",2011,154.426,78.73999
"53","Austria","AUT",2012,160.5397,80.02999
"54","Austria","AUT",2013,156.2304,80.6188
"55","Austria","AUT",2014,151.9113,81
"56","Azerbaijan","AZE",2010,100.0593,46
"57","Azerbaijan","AZE",2011,109.9721,50
"58","Azerbaijan","AZE",2012,108.7683,54.2
"59","Azerbaijan","AZE",2013,107.6134,58.7
"60","Azerbaijan","AZE",2014,110.9054,61
"61","Bahamas, The","BHS",2010,118.8292,43
"62","Bahamas, The","BHS",2011,81.56285,65
"63","Bahamas, The","BHS",2012,80.65383,71.7482
"64","Bahamas, The","BHS",2013,76.05187,72
"65","Bahamas, The","BHS",2014,71.43772,76.92
"66","Bahrain","BHR",2010,125.2084,55
"67","Bahrain","BHR",2011,131.01,76.99997
"68","Bahrain","BHR",2012,161.1671,88
"69","Bahrain","BHR",2013,165.9089,90.00004
"70","Bahrain","BHR",2014,173.2739,90.99998
"71","Bangladesh","BGD",2010,44.94536,3.7
"72","Bangladesh","BGD",2011,55.19257,4.5
"73","Bangladesh","BGD",2012,62.82024,5
"74","Bangladesh","BGD",2013,74.42965,6.63
"75","Bangladesh","BGD",2014,75.92489,9.6
"76","Barbados","BRB",2010,124.8452,65.1
"77","Barbados","BRB",2011,123.4606,67
"78","Barbados","BRB",2012,123.3298,70
"79","Barbados","BRB",2013,108.1028,73
"80","Barbados","BRB",2014,106.7782,76.67
"81","Belarus","BLR",2010,108.8697,31.8
"82","Belarus","BLR",2011,113.1689,39.6489
"83","Belarus","BLR",2012,113.5179,46.91
"84","Belarus","BLR",2013,118.7862,54.17
"85","Belarus","BLR",2014,122.5011,59.02
"86","Belgium","BEL",2010,111.0842,75
"87","Belgium","BEL",2011,113.531,81.61
"88","Belgium","BEL",2012,111.3315,80.71999
"89","Belgium","BEL",2013,110.9032,82.1702
"90","Belgium","BEL",2014,114.27,85
"91","Belize","BLZ",2010,62.9307,28.2
"92","Belize","BLZ",2011,70.31965,30.7
"93","Belize","BLZ",2012,53.20712,31
"94","Belize","BLZ",2013,52.61073,33.6
"95","Belize","BLZ",2014,50.71257,38.7
"96","Benin","BEN",2010,74.39605,3.13
"97","Benin","BEN",2011,79.4005,4.148323
"98","Benin","BEN",2012,83.65432,4.5
"99","Benin","BEN",2013,93.25782,4.9
"100","Benin","BEN",2014,101.7111,5.3
"101","Bermuda","BMU",2010,135.7947,84.21
"102","Bermuda","BMU",2011,NA,88.336
"103","Bermuda","BMU",2012,139.5363,91.2993
"104","Bermuda","BMU",2013,144.3198,95.3
"105","Bermuda","BMU",2014,90.88007,96.8
"106","Bhutan","BTN",2010,54.99994,13.6
"107","Bhutan","BTN",2011,66.37918,21
"108","Bhutan","BTN",2012,75.60978,24
"109","Bhutan","BTN",2013,72.19831,29.9
"110","Bhutan","BTN",2014,82.07006,34.37
"111","Bolivia","BOL",2010,70.68598,22.4
"112","Bolivia","BOL",2011,80.90772,30
"113","Bolivia","BOL",2012,90.4435,35.34
"114","Bolivia","BOL",2013,97.69945,36.94
"115","Bolivia","BOL",2014,96.33725,39.02
"116","Bosnia and Herzegovina","BIH",2010,80.87079,42.75
"117","Bosnia and Herzegovina","BIH",2011,82.60008,47.77
"118","Bosnia and Herzegovina","BIH",2012,87.57471,52.78
"119","Bosnia and Herzegovina","BIH",2013,91.09531,57.79
"120","Bosnia and Herzegovina","BIH",2014,91.27895,60.8
"121","Botswana","BWA",2010,120.0102,6
"122","Botswana","BWA",2011,145.9839,8
"123","Botswana","BWA",2012,153.7856,11.5
"124","Botswana","BWA",2013,160.6411,15
"125","Botswana","BWA",2014,167.2976,18.5
"126","Brazil","BRA",2010,100.881,40.65
"127","Brazil","BRA",2011,119.0024,45.69
"128","Brazil","BRA",2012,125.0019,48.56
"129","Brazil","BRA",2013,135.305,51.04
"130","Brazil","BRA",2014,138.9515,57.6
"131","Brunei Darussalam","BRN",2010,108.6215,53
"132","Brunei Darussalam","BRN",2011,109.0155,56
"133","Brunei Darussalam","BRN",2012,113.9487,60.27307
"134","Brunei Darussalam","BRN",2013,112.2144,64.5
"135","Brunei Darussalam","BRN",2014,110.0571,68.77
"136","Bulgaria","BGR",2010,138.039,46.23
"137","Bulgaria","BGR",2011,142.8462,47.97999
"138","Bulgaria","BGR",2012,148.1311,51.89999
"139","Bulgaria","BGR",2013,145.1877,53.0615
"140","Bulgaria","BGR",2014,137.7066,55.49
"141","Burkina Faso","BFA",2010,36.72938,2.4
"142","Burkina Faso","BFA",2011,48.02719,3
"143","Burkina Faso","BFA",2012,60.60765,3.725035
"144","Burkina Faso","BFA",2013,66.37728,9.1
"145","Burkina Faso","BFA",2014,71.73747,9.4
"146","Burundi","BDI",2010,18.17474,1
"147","Burundi","BDI",2011,20.06827,1.11
"148","Burundi","BDI",2012,22.81446,1.22
"149","Burundi","BDI",2013,24.96259,1.3
"150","Burundi","BDI",2014,30.46201,1.38
"151","Cabo Verde","CPV",2010,76.26543,30
"152","Cabo Verde","CPV",2011,80.81218,32
"153","Cabo Verde","CPV",2012,86.02531,34.74
"154","Cabo Verde","CPV",2013,100.1124,37.5
"155","Cabo Verde","CPV",2014,121.7897,40.26
"156","Cambodia","KHM",2010,56.74071,1.26
"157","Cambodia","KHM",2011,94.18821,3.1
"158","Cambodia","KHM",2012,128.5272,4.94
"159","Cambodia","KHM",2013,133.8902,6.8
"160","Cambodia","KHM",2014,155.1115,9
"161","Cameroon","CMR",2010,41.87601,4.3
"162","Cameroon","CMR",2011,49.5674,5
"163","Cameroon","CMR",2012,60.40682,5.698987
"164","Cameroon","CMR",2013,70.39047,6.4
"165","Cameroon","CMR",2014,75.68513,11
"166","Canada","CAN",2010,75.67608,80.3
"167","Canada","CAN",2011,77.82549,83
"168","Canada","CAN",2012,79.56834,83
"169","Canada","CAN",2013,80.61008,85.8
"170","Canada","CAN",2014,82.98444,87.12
"171","Caribbean small states","CSS",2010,114.4775,35.81886
"172","Caribbean small states","CSS",2011,107.9535,42.68901
"173","Caribbean small states","CSS",2012,104.2195,43.26065
"174","Caribbean small states","CSS",2013,109.4289,46.29434
"175","Caribbean small states","CSS",2014,109.9251,49.27395
"176","Cayman Islands","CYM",2010,181.1742,66
"177","Cayman Islands","CYM",2011,170.9811,69.46594
"178","Cayman Islands","CYM",2012,171.6762,74.12653
"179","Cayman Islands","CYM",2013,167.7693,74.1
