"","country","year","Social support","Generosity","Healthy life expectancy at birth","Freedom to make life choices","Perceptions of corruption","Confidence in national government","Democratic Quality","Delivery Quality","Country","Dystopia.Residual"
"1","Afghanistan",2016,0.559071779,0.057393152,49.87126541,0.522566199,0.793245554,0.324989557,NA,NA,"Afghanistan",2.15080118179321
"2","Albania",2016,0.638411462,-0.017927289,68.69837952,0.72981894,0.901070774,0.400909811,NA,NA,"Albania",1.49044156074524
"3","Algeria",2016,0.748149693,NA,64.82994843,NA,NA,NA,NA,NA,"Algeria",2.56760382652283
"4","Argentina",2016,0.882819116,NA,67.44399261,0.847702205,0.850924492,0.419561833,NA,NA,"Argentina",2.61400532722473
"5","Armenia",2016,0.709218323,-0.155814424,65.4094696,0.610986948,0.921421051,0.184713036,NA,NA,"Armenia",1.5214991569519
"6","Australia",2016,0.942334235,0.223086312,72.52162933,0.922315717,0.398545116,0.452731758,NA,NA,"Australia",2.06521081924438
"7","Austria",2016,0.926318586,0.071537279,71.64565277,0.888513982,0.52364099,0.432638228,NA,NA,"Austria",2.1385064125061
"8","Azerbaijan",2016,0.777271032,-0.2282276,62.04492569,0.712573171,0.606770813,0.734052122,NA,NA,"Azerbaijan",1.76248168945312
"9","Bahrain",2016,0.862700105,NA,65.96392059,0.888691068,NA,NA,NA,NA,"Bahrain",1.65614938735962
"10","Bangladesh",2016,0.649116933,-0.079817846,62.04618835,0.874700487,0.687853634,0.845429063,NA,NA,"Bangladesh",1.97873616218567
"11","Belarus",2016,0.926551104,-0.13301833,65.76477051,0.658228815,0.664055169,0.452669024,NA,NA,"Belarus",1.72323298454285
"12","Belgium",2016,0.928964078,-0.064254232,71.52167511,0.865759015,0.4966591,0.419177502,NA,NA,"Belgium",2.12421035766602
"13","Benin",2016,0.492815852,-0.038521048,50.76924515,0.779795229,0.837715745,0.63744539,NA,NA,"Benin",1.88563096523285
"14","Bolivia",2016,0.795958757,-0.039895076,60.04561996,0.881748736,0.852592945,0.40174228,NA,NA,"Bolivia",2.44327902793884
"15","Bosnia and Herzegovina",2016,0.807705104,0.140728295,67.77558136,0.633453727,0.957311988,0.212188497,NA,NA,"Bosnia and Herzegovina",1.89217257499695
"16","Botswana",2016,0.768302798,-0.258422136,55.19362259,0.851694882,0.729171813,0.803130805,NA,NA,"Botswana",0.3779137134552
"17","Brazil",2016,0.912455142,-0.110323586,64.83092499,0.806571543,0.781092763,0.264140248,NA,NA,"Brazil",2.76926708221436
"18","Bulgaria",2016,0.92603606,-0.174192682,68.2297287,0.700265527,0.935988188,0.221241772,NA,NA,"Bulgaria",0.996139287948608
"19","Burkina Faso",2016,0.764401138,0.016965307,51.10700226,0.644681513,0.720542431,0.663711369,NA,NA,"Burkina Faso",1.72721290588379
"20","Cambodia",2016,0.745901227,0.077873215,58.53693771,0.957821488,0.840416849,NA,NA,NA,"Cambodia",1.04294109344482
"21","Cameroon",2016,0.659299791,0.004161811,48.33827972,0.71250701,0.87945056,0.621221066,NA,NA,"Cameroon",2.3336455821991
"22","Canada",2016,0.924392521,0.196096614,72.2983017,0.912423909,0.385090441,0.618195295,NA,NA,"Canada",2.18726444244385
"23","Central African Republic",2016,0.29018417,NA,44.02322006,0.624056518,0.859073043,0.748754561,NA,NA,"Central African Republic",2.06600475311279
"24","Chad",2016,0.616204858,0.041371502,45.10814285,0.525222123,0.819788873,0.513021767,NA,NA,"Chad",2.07123804092407
"25","Chile",2016,0.841388166,0.089744627,71.83113861,0.652289748,0.858124971,0.203538865,NA,NA,"Chile",2.50958585739136
"26","China",2016,0.741703033,-0.245219812,69.0667038,NA,NA,NA,NA,NA,"China",1.76493859291077
"27","Colombia",2016,0.88190037,-0.107797056,64.00605774,0.834966123,0.897553861,0.261251181,NA,NA,"Colombia",2.61606812477112
"28","Congo (Brazzaville)",2016,0.615449011,-0.116827436,53.89886475,0.785906553,0.790385723,0.483075261,NA,NA,"Congo (Brazzaville)",1.72413563728333
"29","Congo (Kinshasa)",2016,0.864154518,0.006238339,50.29008102,0.637366712,0.874999642,0.281824946,NA,NA,"Congo (Kinshasa)",2.22495865821838
"30","Costa Rica",2016,0.900701284,-0.031022305,69.66177368,0.872971952,0.780562043,0.279027581,NA,NA,"Costa Rica",2.89863920211792
"31","Cyprus",2016,0.786438465,-0.03673432,72.64193726,0.756220996,0.897639513,0.333909512,NA,NA,"Cyprus",1.62124919891357
"32","Czech Republic",2016,0.930592895,-0.203110084,69.42073059,0.850328267,0.900430739,0.415120721,NA,NA,"Czech Republic",2.45186185836792
"33","Denmark",2016,0.954451501,0.131326869,70.91555023,0.948230565,0.209893376,0.467660695,NA,NA,"Denmark",2.31370735168457
"34","Dominican Republic",2016,0.894753456,-0.083151594,63.30880356,0.872712433,0.737182975,0.549424827,NA,NA,"Dominican Republic",1.31946516036987
"35","Ecuador",2016,0.842352092,-0.01742064,67.1619873,0.846336305,0.774084151,0.474427789,NA,NA,"Ecuador",2.29035258293152
