"","CountryName","CountryCode","IndicatorCode","Year","Value"
"1","Caribbean small states","CSS","EG.ELC.ACCS.ZS",2010,92.38233
"2","Caribbean small states","CSS","SE.ADT.LITR.ZS",2010,91.69633
"3","Caribbean small states","CSS","EN.ATM.CO2E.PC",2010,10.0045
"4","Caribbean small states","CSS","GC.XPN.COMP.ZS",2010,20.36784
"5","Caribbean small states","CSS","SN.ITK.DFCT",2010,61.54143
"6","Caribbean small states","CSS","AG.LND.FRST.ZS",2010,85.29885
"7","Caribbean small states","CSS","EG.USE.COMM.FO.ZS",2010,97.89905
"8","Caribbean small states","CSS","NY.GDP.PCAP.CD",2010,8699.511
"9","Caribbean small states","CSS","NY.GDP.PCAP.KD.ZG",2010,-0.6329211
"10","Caribbean small states","CSS","NY.GDP.MKTP.PP.CD",2010,94960479337
"11","Caribbean small states","CSS","FP.CPI.TOTL.ZG",2010,3.370025
"12","Caribbean small states","CSS","VC.IHR.PSRC.P5",2010,37.92283
"13","Caribbean small states","CSS","SM.POP.TOTL.ZS",2010,4.180263
"14","Caribbean small states","CSS","IT.NET.USER.P2",2010,35.81886
"15","Caribbean small states","CSS","SP.DYN.LE00.IN",2010,71.38492
"16","Caribbean small states","CSS","IT.CEL.SETS.P2",2010,114.4775
"17","Caribbean small states","CSS","SP.DYN.IMRT.IN",2010,18.79683
"18","Caribbean small states","CSS","EN.POP.DNST",2010,16.93113
"19","Caribbean small states","CSS","SP.POP.TOTL",2010,6854569
"20","Caribbean small states","CSS","SG.GEN.PARL.ZS",2010,15.24395
"21","Caribbean small states","CSS","EG.FEC.RNEW.ZS",2010,8.468958
"22","Caribbean small states","CSS","ER.PTD.TOTL.ZS",2010,9.897359
"23","Caribbean small states","CSS","SE.ADT.1524.LT.ZS",2010,95.98971
"24","Pacific island small states","PSS","EG.ELC.ACCS.ZS",2010,48.94351
"25","Pacific island small states","PSS","EN.ATM.CO2E.PC",2010,1.113847
"26","Pacific island small states","PSS","SN.ITK.DFCT",2010,40.37119
"27","Pacific island small states","PSS","AG.LND.FRST.ZS",2010,61.64101
"28","Pacific island small states","PSS","NY.GDP.PCAP.CD",2010,2890.894
